整租 | 比佩亚新出便宜好房，家私齐全3800，拎包入住看球场,观澜湖比佩亚大宅,3800,https://sz.58.com/zufang/44367031842727x.shtml,经度,纬度
整租 | 白石龙地铁口，惠鑫公寓，2房1厅，全家私家电带电梯,惠鑫公寓,3500,https://sz.58.com/zufang/43040889785872x.shtml,114.057868,22.543099
整租 | 南景新村 2室1厅1卫,南景新村,2800,https://sz.58.com/zufang/44360085874829x.shtml,114.057868,22.543099
整租 | 水斗新围村 1室1厅1卫 电梯房 南北通透押一付一,水斗新围村,2060,https://sz.58.com/zufang/44259816543504x.shtml,114.057868,22.543099
整租 | 大落地窗 四号线 红山 复式一房一厅 随时看房,龙光玖钻,2580,https://sz.58.com/zufang/44157103787400x.shtml,114.057868,22.543099
整租 | 2300拎包入住地铁口房  房间采光好空间大,深业泰然观澜玫瑰苑,2300,https://sz.58.com/zufang/44247220811283x.shtml,114.057868,22.543099
整租 | 白石龙二区 2室 1厅1卫,白石龙二区,2400,https://sz.58.com/zufang/44322428866837x.shtml,114.057868,22.543099
整租 | 龙华壹成中心对面 精装 配品牌家电家私 特价直租 有,共和花园,2000,https://sz.58.com/zufang/43803221898915x.shtml,114.057868,22.543099
整租 | 观澜 地铁口 阳基御龙山 精装三房 3600元月,阳基御龙山,3600,https://sz.58.com/zufang/44335744243111x.shtml,114.057868,22.543099
整租 | 真实在租 清铭泉旁 DT时代公寓 精装欧式一房一厅,大唐时代公寓,2800,https://sz.58.com/zufang/44136583963034x.shtml,114.057868,22.543099
整租 | 利嘉大厦 3室2厅1卫,利嘉大厦,2800,https://sz.58.com/zufang/44359852341656x.shtml,114.057868,22.543099
整租 | 清湖地铁口物业，热线聚豪国际1房1厅，家私电齐全，拎,聚豪国际,3300,https://sz.58.com/zufang/44023761855003x.shtml,114.057868,22.543099
整租 | 白石龙地铁口 整租一房一厅 拎包入住 电梯房 无中介,白石龙一区,2600,https://sz.58.com/zufang/43642444582300x.shtml,114.057868,22.543099
整租 | 近天汇大厦 展涛大厦 杰美康 梦丽园 家私家电齐全,香缇雅苑,2280,https://sz.58.com/zufang/44358828688151x.shtml,114.057868,22.543099
单间 | 世纪春城(四期) 5室1厅2卫 主卧 南北,世纪春城(四期),2600,https://sz.58.com/hezu/44359795040900x.shtml,114.057868,22.543099
整租 | 地金口  金湖雅苑 3房2厅1卫 3800元月 南北,金湖雅苑,3800,https://sz.58.com/zufang/43938498983706x.shtml,114.057868,22.543099
整租 | 龙华 观澜 阳基御龙山 精装三房 看房方便 3800,阳基御龙山,3800,https://sz.58.com/zufang/44344643125387x.shtml,114.057868,22.543099
整租 | 龙胜元芬地铁口 陶吓新村 物业直租3房2卫 近锦华福,陶吓新村,3000,https://sz.58.com/zufang/43409276507804x.shtml,114.057868,22.543099
整租 | 伍屋村 2室1厅1卫,伍屋村,2200,https://sz.58.com/zufang/44359718003487x.shtml,114.057868,22.543099
整租 | （有钥匙）民治伽乐园 业主特价直租 实图实价 拎包入,伽乐园,2800,https://sz.58.com/zufang/44326814592936x.shtml,114.057868,22.543099
整租 | 梅林关 一房一厅 精装修 民用水电 拎包入住 月付,白石龙一区,2250,https://sz.58.com/zufang/44074158275493x.shtml,114.057868,22.543099
整租 | 龙屋小区(龙华) 2室2厅1卫,龙屋小区(龙华),2850,https://sz.58.com/zufang/44190681777932x.shtml,114.057868,22.543099
整租 | 龙华 观澜 精装修两房 家电齐全 写字楼公寓 可注c,宝观城锦鲤大厦,2000,https://sz.58.com/zufang/44002080922643x.shtml,114.057868,22.543099
整租 | 龙华押一超大两房 民水民电 近地铁 24H安保 直租,元芬村,2569,https://sz.58.com/zufang/44367559879955x.shtml,114.057868,22.543099
整租 | 住哪里和跟谁在一起住这两件事上，一点也不要将就,港铁天颂(别墅),2200,https://sz.58.com/zufang/44181732187042x.shtml,114.057868,22.543099
单间 | 龙光玖龙玺 4室2厅2卫 主卧 南,龙光玖龙玺,2850,https://sz.58.com/hezu/44371279881099x.shtml,114.057868,22.543099
整租 | 邻近地铁站 特价两室一厅出租 户型端正 居家式 采光,福轩居,2380,https://sz.58.com/zufang/44316828348547x.shtml,114.057868,22.543099
整租 | 羊台山庄 2室1厅1卫 2500元月 精装修 配套齐,羊台山庄,2500,https://sz.58.com/zufang/44330333890960x.shtml,114.057868,22.543099
整租 | 上丰花园 3室1厅1卫 2899元月 南北通透 精装,上丰花园,2999,https://sz.58.com/zufang/43175830042403x.shtml,114.057868,22.543099
整租 | 花园新村 4室2厅1卫,花园新村,3300,https://sz.58.com/zufang/44203988894620x.shtml,114.057868,22.543099
整租 | 走过路过不要错过 精装苹果园 店长亲荐,苹果园,2800,https://sz.58.com/zufang/44113114226701x.shtml,114.057868,22.543099
整租 | 地铁口直达 双层车库公寓 住的好才是真的好 环境决定,大唐时代公寓,3000,https://sz.58.com/zufang/41692656644771x.shtml,114.057868,22.543099
整租 | 5号线精装修两室 可直达大学城 福田中心区 上班上学,塘水围一区,2100,https://sz.58.com/zufang/44296288302371x.shtml,114.057868,22.543099
单间 | 鑫茂公寓 1室0厅1卫 其他 南,鑫茂公寓,2950,https://sz.58.com/hezu/44371012475012x.shtml,114.057868,22.543099
整租 | 龙华鸿基新都2房出租，稀有房源！,鸿基新都,3500,https://sz.58.com/zufang/44216370946199x.shtml,114.057868,22.543099
整租 | 实图龙华地铁站500米精装两房,景华新村,2980,https://sz.58.com/zufang/44247820925448x.shtml,114.057868,22.543099
整租 | 苹果园 2室2厅1卫 3800元月  配套齐全,苹果园,3800,https://sz.58.com/zufang/44380063246734x.shtml,114.057868,22.543099
单间 | 鸿荣源壹成中心花园 4室2厅2卫 主卧 南,鸿荣源壹成中心花园,2200,https://sz.58.com/hezu/44247607062544x.shtml,114.057868,22.543099
整租 | 龙华观澜百丽名苑2房出租小区配套齐全.小区免费停车.,百丽名苑,2500,https://sz.58.com/zufang/43318348396708x.shtml,114.057868,22.543099
整租 | 天汇 展滔附近 有落地窗一房一厅 单间 家电全齐 拎,1980科技文化产业园,2000,https://sz.58.com/zufang/44071165339803x.shtml,114.057868,22.543099
整租 | 四号线附近，龙华清湖花半里，宝能，华为，天安云谷，附,龙华花半里,2000,https://sz.58.com/zufang/44189768120328x.shtml,114.057868,22.543099
整租 | 双桥花园 2室 1厅1卫,双桥花园,2450,https://sz.58.com/zufang/44212864573593x.shtml,114.057868,22.543099
整租 | 龙华港铁四号线清湖北地铁口宝湖新村方正大两房拎包入住,宝湖新村,3000,https://sz.58.com/zufang/44347246196489x.shtml,114.057868,22.543099
整租 | 紧缺房源 ！风和日丽二室 周边配套齐全 交通便捷 不,风和日丽花园,3800,https://sz.58.com/zufang/44212152173987x.shtml,114.057868,22.543099
整租 | 车位充足 精装花园复式大单间  押一付一 家电全齐,兴强苑山庄,2300,https://sz.58.com/zufang/44168202223127x.shtml,114.057868,22.543099
整租 | 高盛公寓 3室2厅1卫,高盛公寓,3800,https://sz.58.com/zufang/40056468974489x.shtml,114.057868,22.543099
整租 | 龙光玖钻 1室0厅1卫 2600元月 精装修 39平,龙光玖钻,2600,https://sz.58.com/zufang/44101138464034x.shtml,114.057868,22.543099
"整租 | 直租观澜超大两房一厅,高楼层 交通方便 可办公纯住",康淮物流园,3300,https://sz.58.com/zufang/43982200109830x.shtml,114.057868,22.543099
整租 | 民治地铁站，别墅区停车方便，一房一厅炒鸡安静与采光.,梅花山庄(别墅),2580,https://sz.58.com/zufang/44269380435240x.shtml,114.057868,22.543099
整租 | 玉翠新村A区 1室1厅1卫,玉翠新村A区,2300,https://sz.58.com/zufang/44370495817768x.shtml,114.057868,22.543099
整租 | 5号线民治地铁口  精装两房 带电梯 直租无费用 采,樟坑一区2栋小区,2480,https://sz.58.com/zufang/43888290484121x.shtml,114.057868,22.543099
整租 | 深业泰然玫瑰轩 1室1厅1卫 2200元月 拎包入住,深业泰然玫瑰轩,2200,https://sz.58.com/zufang/44322696349349x.shtml,114.057868,22.543099
整租 | 观澜百丽名苑2房出租南北朝向 小区停车免费 配套齐全,百丽名苑,2400,https://sz.58.com/zufang/44336501214602x.shtml,114.057868,22.543099
整租 | 阳光新境园 1室1厅1卫,阳光新境园,3600,https://sz.58.com/zufang/44249300801831x.shtml,114.057868,22.543099
整租 | 四号线地铁长湖站，观澜医院旁，华盛观荟空房2600,金洪观荟,3300,https://sz.58.com/zufang/44333184224258x.shtml,114.057868,22.543099
整租 | 玉华花园 3室2厅1卫 3500元月 80平,玉华花园,3500,https://sz.58.com/zufang/44059812668432x.shtml,114.057868,22.543099
整租 | 富泉新村 3室3厅2卫,富泉新村,2800,https://sz.58.com/zufang/44370159294744x.shtml,114.057868,22.543099
整租 | 4号线上塘站 地铁口 龙塘新村 两房一厅 电梯高层,龙塘新村,3500,https://sz.58.com/zufang/43654413704866x.shtml,114.057868,22.543099
整租 | 优选！碧家公寓 独立卫生间 4号线直达 家电齐全 拎,创业花园,2400,https://sz.58.com/zufang/43041223935381x.shtml,114.057868,22.543099
整租 | 如果可以 真想天天和你在一起 答应我房子在等你,东泉新村,2380,https://sz.58.com/zufang/43924676537868x.shtml,114.057868,22.543099
整租 | 苹果园 1室1厅1卫,苹果园,3000,https://sz.58.com/zufang/44259255862428x.shtml,114.057868,22.543099
整租 | 近6号线元芬地铁站，便宜一房，交通便利，家私家电齐全,元芬新村,2000,https://sz.58.com/zufang/44327138704025x.shtml,114.057868,22.543099
整租 | 龙华商圈 港深国际展滔科技大厦 精装修 拎包入住 随,金地梅陇镇,3800,https://sz.58.com/zufang/44333693752350x.shtml,114.057868,22.543099
整租 | 民乐花园 2室2厅1卫 2700元月 配套齐全 58,民乐花园,2700,https://sz.58.com/zufang/44192736506117x.shtml,114.057868,22.543099
整租 | 梅苑新村 3室2厅1卫,梅苑新村,3200,https://sz.58.com/zufang/39192447491329x.shtml,114.057868,22.543099
整租 | 国庆租房佣金8折  苹果园 户型通透 家私齐全 拎包,苹果园,3000,https://sz.58.com/zufang/43674470833300x.shtml,114.057868,22.543099
整租 | 深圳北站，车位充足，家具齐全，随时可拎包入住,金地上塘道(二期),4000,https://sz.58.com/zufang/43949865686302x.shtml,114.057868,22.543099
整租 | 梅林关 白石龙二区 走路600米 户型方正 随时看房,白石龙二区,2360,https://sz.58.com/zufang/44096711326496x.shtml,114.057868,22.543099
整租 | 龙华阳光里 2室1厅1卫,龙华阳光里,2000,https://sz.58.com/zufang/44356065323395x.shtml,114.057868,22.543099
整租 | 6号线羊台山东，近商业中心，有车位，家私家电齐全，拎,悠山美地家园,3580,https://sz.58.com/zufang/42945518373155x.shtml,114.057868,22.543099
整租 | 白石龙一区 2室1厅1卫3180元月 南北通透 电梯,白石龙二区,3180,https://sz.58.com/zufang/43938259937153x.shtml,114.057868,22.543099
整租 | 精装大单间  家具家电全齐 拎包即住 高楼层带电梯,润达圆庭,2850,https://sz.58.com/zufang/44236704655234x.shtml,114.057868,22.543099
整租 | 黃麻埔新村 3室 2厅2卫,黃麻埔新村,2500,https://sz.58.com/zufang/44356049207841x.shtml,114.057868,22.543099
整租 | 上塘4号6号双地铁公寓两房家私齐全,隔圳新村,3000,https://sz.58.com/zufang/44104549918883x.shtml,114.057868,22.543099
整租 | 南北通透正规精装两房，高楼层采光无限好，家私齐全，业,龙光玖钻,3200,https://sz.58.com/zufang/44206822502303x.shtml,114.057868,22.543099
整租 | 可短租红山深圳北地铁口 好房直租 品牌公寓 有公区,创业花园,2030,https://sz.58.com/zufang/44102695559187x.shtml,114.057868,22.543099
整租 | 三合雅苑 3室1厅1卫,三合雅苑,3500,https://sz.58.com/zufang/44355950046475x.shtml,114.057868,22.543099
整租 | 转租龙华文化广场 瓦窑排精装两房 家电齐全 拎包入住,瓦窑排村,2000,https://sz.58.com/zufang/40166329308037x.shtml,114.057868,22.543099
整租 | 近龙胜元芬双地铁，直达福田，罗湖，公寓两房年底优惠大,赤岭头新一村小区,2200,https://sz.58.com/zufang/44294807335204x.shtml,114.057868,22.543099
整租 | 找来找去，累了吧，就这套了吧，看了你就想租的房,下围新村,2700,https://sz.58.com/zufang/44283714721952x.shtml,114.057868,22.543099
整租 | 西头东苑 3室1厅1卫,西头东苑,2900,https://sz.58.com/zufang/44258747786012x.shtml,114.057868,22.543099
整租 | 观澜富士康北门章阁大两房出租,章阁华庭,2000,https://sz.58.com/zufang/44369047550755x.shtml,114.057868,22.543099
整租 | 新华中学旁 丹枫雅苑，精装两房，业主诚心出租,丹枫雅苑,3500,https://sz.58.com/zufang/44212094155928x.shtml,114.057868,22.543099
整租 | 直租房近地铁压一付一生活便利24H客服安保健身房公区,龙胜新村,2699,https://sz.58.com/zufang/44366466061192x.shtml,114.057868,22.543099
整租 | 羊台新村 3室2厅1卫,羊台新村,3000,https://sz.58.com/zufang/44346621737242x.shtml,114.057868,22.543099
整租 | 白石龙地铁口，带阳台两房2780，两站直达福田，精装,白石龙一区,2780,https://sz.58.com/zufang/44267046648207x.shtml,114.057868,22.543099
整租 | 4号线 梅林关口 白石龙 二房一厅 它能带给尼温馨的,惠鑫公寓,2980,https://sz.58.com/zufang/43970193920901x.shtml,114.057868,22.543099
整租 | 梅林关 白石龙一房一厅 大阳台 采光通透 随时看房入,白石龙一区,2200,https://sz.58.com/zufang/44095992740392x.shtml,114.057868,22.543099
整租 | 瓦窑排村 2室1厅2卫,瓦窑排村,2000,https://sz.58.com/zufang/43374272792965x.shtml,114.057868,22.543099
整租 | 龙华地铁站，近汇海广场一方天地，复式一房精装入住。,金玲花园,2100,https://sz.58.com/zufang/44267702325648x.shtml,114.057868,22.543099
整租 | 优尚公寓直租，近佐阾购物中心大润发，loft一房一厅,优城商务大厦,2680,https://sz.58.com/zufang/43561408828185x.shtml,114.057868,22.543099
整租 | 惠鑫公寓 2室1厅1卫,惠鑫公寓,2900,https://sz.58.com/zufang/38752071123088x.shtml,114.057868,22.543099
整租 | 找房累了吧，这套与你有缘，宝能科技园宝能华佳公寓附近,下围新村,3200,https://sz.58.com/zufang/44283885249168x.shtml,114.057868,22.543099
整租 | 楠木新村精装复式房，地铁站周边，办公住家都可以,楠木花园,4000,https://sz.58.com/zufang/44257293097608x.shtml,114.057868,22.543099
整租 | [整租]实图壹方天地 展涛大厦 豪华装大一房一厅 领,鸿荣源壹成中心花园,3299,https://sz.58.com/zufang/44345414488615x.shtml,114.057868,22.543099
整租 | 玉翠新村A区 2室1厅1卫,玉翠新村A区,2200,https://sz.58.com/zufang/44368897198632x.shtml,114.057868,22.543099
整租 | 观澜小区百丽名苑三房出租精装修可全齐可空房 免费停车,百丽名苑,3200,https://sz.58.com/zufang/43318416254357x.shtml,114.057868,22.543099
整租 | 民乐翠园小区 2室2厅1卫 2800元月 60平,民乐翠园小区,2800,https://sz.58.com/zufang/44161136664488x.shtml,114.057868,22.543099
整租 | 潜龙鑫茂花园 电梯1房 2200元月  房东急租 看,潜龙鑫茂花园(C区),2500,https://sz.58.com/zufang/44301285061272x.shtml,114.057868,22.543099
整租 | 聚豪国际 1室0厅1卫,聚豪国际,3000,https://sz.58.com/zufang/44335626739227x.shtml,114.057868,22.543099
整租 | 龙华壹城中心~性价比好两房采光好面积大降价优惠出租,共和花园,2000,https://sz.58.com/zufang/43836229217793x.shtml,114.057868,22.543099
整租 | 四号线超大两房，适合一家人居住 价格便宜，快来咨询吧,龙胜新村,2499,https://sz.58.com/zufang/43175662377613x.shtml,114.057868,22.543099
整租 | 押一付一 价格实惠 靠近地铁 靠近商圈,白石龙一区,2007,https://sz.58.com/zufang/44346288239758x.shtml,114.057868,22.543099
整租 | 向南一区 2室1厅1卫,向南一区,2800,https://sz.58.com/zufang/44368843585434x.shtml,114.057868,22.543099
整租 | 龙胜元芬地铁站 陶吓新村 精装2房2卫 锦华学校对面,陶吓新村,2400,https://sz.58.com/zufang/44137370178435x.shtml,114.057868,22.543099
整租 | 4号线白石龙地铁深圳北地铁小区房一房一带阳台家具齐全,潜龙鑫茂花园(A区),2850,https://sz.58.com/zufang/40398721035794x.shtml,114.057868,22.543099
整租 | 特价大单间 32平 免费地铁口班车 拎包入住 家私齐,鑫茂公寓,2780,https://sz.58.com/zufang/41991158918019x.shtml,114.057868,22.543099
整租 | 白石龙一区 2室1厅1卫,白石龙一区,3100,https://sz.58.com/zufang/44368725686032x.shtml,114.057868,22.543099
整租 | 4号线白石龙地铁 整租复式一房 精装修家电齐全 电梯,新彩苑,2280,https://sz.58.com/zufang/44038769837861x.shtml,114.057868,22.543099
整租 | 直租公寓 年租免首月租金 可办公,香榭郦景,2500,https://sz.58.com/zufang/44367202830118x.shtml,114.057868,22.543099
整租 | 苹果园装修很漂亮的一房一厅，拎包入住，业主好说话！！,苹果园,3000,https://sz.58.com/zufang/44361337591717x.shtml,114.057868,22.543099
整租 | 白石龙一区 1室0厅1卫,白石龙一区,2100,https://sz.58.com/zufang/44363234117151x.shtml,114.057868,22.543099
整租 | 白石龙一区 一房一厅 随时看房 近地铁口 无中芥费,白石龙一区,2230,https://sz.58.com/zufang/44095945463041x.shtml,114.057868,22.543099
整租 | 地铁口 金湖雅苑 2室2厅 3800元月 半年起租,金湖雅苑,3800,https://sz.58.com/zufang/43938403919127x.shtml,114.057868,22.543099
整租 | 龙华观澜百丽名苑2房2厅 南北通朝向.小区配套齐全停,百丽名苑,2500,https://sz.58.com/zufang/43318451491093x.shtml,114.057868,22.543099
整租 | 龙光玖钻 2室1厅1卫,龙光玖钻,4000,https://sz.58.com/zufang/44368422941465x.shtml,114.057868,22.543099
整租 | 直租.上塘龙胜双地铁精装两房一厅.去福田方便.拎包入,西头新村,2000,https://sz.58.com/zufang/43761525061386x.shtml,114.057868,22.543099
整租 | 白石龙地铁站，白石龙一区，阳台一房一厅2000精装拎,白石龙一区,2000,https://sz.58.com/zufang/44267018999180x.shtml,114.057868,22.543099
整租 | 龙光玖钻 复式一室两厅精装房,龙光玖钻,3800,https://sz.58.com/zufang/42724980077065x.shtml,114.057868,22.543099
整租 | 龙胜新村 1室1厅1卫,龙胜新村,2100,https://sz.58.com/zufang/44356482669953x.shtml,114.057868,22.543099
整租 | 地铁口！华盛峰荟名庭！ 2室2厅1卫3100元月 5,华盛峰荟名庭,3100,https://sz.58.com/zufang/44189797339406x.shtml,114.057868,22.543099
整租 | 悦湖大厦  精装修2室2厅1卫阳台 3700元月 近,悦湖大厦,3700,https://sz.58.com/zufang/44201952030888x.shtml,114.057868,22.543099
整租 | 龙胜地铁站陶吓新村 精装两房一厅 电梯房 采光足 随,陶吓新村,2400,https://sz.58.com/zufang/44349998212231x.shtml,114.057868,22.543099
整租 | 大浪龙翔花园 3室1厅2卫,大浪龙翔花园,2500,https://sz.58.com/zufang/44323255823501x.shtml,114.057868,22.543099
整租 | 大润发丹枫雅苑业主重新装修出租大两房！家私家电全新！,丹枫雅苑,4000,https://sz.58.com/zufang/44256642991878x.shtml,114.057868,22.543099
整租 | 深圳北站附近精装一室 俏房急租 南北通透 光线充足,潜龙鑫茂花园(B区),3600,https://sz.58.com/zufang/44300963358726x.shtml,114.057868,22.543099
整租 | 锦绣新村 2室1厅1卫,锦绣新村,2100,https://sz.58.com/zufang/44367490000399x.shtml
