整租 | 胜辛南路800号办公楼 1室1厅1卫 1598元月,胜辛南路800号办公楼,1598,https://sh.58.com/zufang/44711228597656x.shtml
单间 | 无中介嘉定北地铁站日月光鼎固君庭民用电,日月光伯爵天地鼎固君庭,990,https://sh.58.com/hezu/44665956256658x.shtml
整租 | 豪华装修，价格真实，近南翔地铁站500米,绿地新翔家园,3400,https://sh.58.com/zufang/44700936957717x.shtml
整租 | 金沙丽晶苑(一期) 2室 2厅1卫,金沙丽晶苑(一期),6000,https://sh.58.com/zufang/44743346593026x.shtml
整租 | 海伦堡海伦广场 精装两房 近嘉定新城地铁站 拎包入住,海伦堡海伦广场,2500,https://sh.58.com/zufang/44367308517271x.shtml
"整租 | 缘圆宝坻 精装一室户,多套户型可选,看房随时,拎包即",万达城市公寓,2788,https://sh.58.com/zufang/44731799245351x.shtml
单间 | 云翔佳苑 精装修 单间出租 欢迎致电,云翔佳苑,1400,https://sh.58.com/hezu/44493421238174x.shtml
整租 | 绿地新江桥城(南区) 3室1厅1卫,绿地新江桥城(南区),4500,https://sh.58.com/zufang/44743340565415x.shtml
整租 | 拎包入住 1室1厅1卫 1589元月 0中介,胜辛南路800号办公楼,1589,https://sh.58.com/zufang/44711108501897x.shtml
整租 | 安亭近大众 整租两房两厅 电梯房 精装全配 房间干净,澳丽映象嘉园,2500,https://sh.58.com/zufang/44632313442330x.shtml
单间 | 玉兰三村押一付一，家电齐全，近市民广场，随时可租，水,玉兰三村,900,https://sh.58.com/hezu/44478979687447x.shtml
单间 | 樊家花苑 3室2厅2卫 主卧 南,樊家花苑,900,https://sh.58.com/hezu/44701608560405x.shtml
整租 | 同济科技园旁边 莱英北郡 毛坯3房2400 有部分东,莱英北郡(公寓住宅),2400,https://sh.58.com/zufang/44446140616842x.shtml
整租 | 年底好房 降价出租 家电齐全 拎包入住 和房东签约,嘉利坊,3700,https://sh.58.com/zufang/44699224608387x.shtml
整租 | 金运路万达商圈，电梯高区采光好，居家全配，随时入驻，,金沙鼎苑,4350,https://sh.58.com/zufang/44687227657236x.shtml
整租 | 三皇桥小区 2室1厅1卫,三皇桥小区,2200,https://sh.58.com/zufang/44743318569226x.shtml
单间 | 大名城名郡 飘窗单间 1100元月 月付,大名城名郡,1100,https://sh.58.com/hezu/44743143741730x.shtml
整租 | 龙湖郦城 有阳台 2600元月 精装修 看房子方便，,龙湖郦城(商住楼),2600,https://sh.58.com/zufang/44588480928160x.shtml
整租 | 房租949元 月付 随时看房 不收中介非 拎包入住,漳翔路1086弄2号楼,949,https://sh.58.com/zufang/44666031198742x.shtml
整租 | 华江一村 2室1厅1卫,华江一村,4000,https://sh.58.com/zufang/44743321862021x.shtml
单间 | 用心服务 可短租3个月 无仲阶费 真实押一付一 民用,日月光伯爵天地城市华庭,990,https://sh.58.com/hezu/44687209908517x.shtml
"整租 | 秒杀房源,3室,别有洞天!舒适如新,经典把握,机会难",龙湖天璞,7000,https://sh.58.com/zufang/44643229368479x.shtml
整租 | 真实 房源 万达广场和13号地铁口旁,大宅风范城,2580,https://sh.58.com/zufang/44270910646952x.shtml
单间 | 西上海御庭(曹安景林苑) 3室1厅1卫 次卧 南,西上海御庭(曹安景林苑),800,https://sh.58.com/hezu/42718211373586x.shtml
整租 | 嘉定西附近 一室一厅 押一付一 随时看房入住 水电民,同盛园,2000,https://sh.58.com/zufang/44668972278538x.shtml
单间 | 繁华配套 水电民用 押一付一 与房东直签合同 卫生已,泰宸沙河茗苑,2000,https://sh.58.com/hezu/44722889175204x.shtml
整租 | 合景峰汇 2室1厅1卫 3000元月 价格可谈 自住,合景峰汇,2800,https://sh.58.com/zufang/44477350860326x.shtml
单间 | 金马小区 3室2厅2卫 主卧 南,金马小区,1300,https://sh.58.com/hezu/44743293206056x.shtml
整租 | 捡漏精装小复式时尚装修风格大落地窗彩光非常好,万立城(公寓住宅),1600,https://sh.58.com/zufang/44623749101074x.shtml
整租 | 地铁口 精装一室朝南户型 水电名用 房子非常漂亮,紫荆四村,1300,https://sh.58.com/zufang/44698529881377x.shtml
整租 | 富友嘉园(南区) 3室2厅1卫 钥匙房 已空关 随时,富友嘉园(南区),4500,https://sh.58.com/zufang/44554765109515x.shtml
单间 | 新江村(嘉定) 1室0厅1卫 其他 南,新江村(嘉定),900,https://sh.58.com/hezu/42613853258910x.shtml
整租 | 兰棠佳苑一室一厅精装修全配周边生活购物方便,兰棠佳苑,1800,https://sh.58.com/zufang/44733447001346x.shtml
整租 | 金运路地铁口，精装全配一室一厅，手机实拍，看房随时拎,澜茵华庭(东区),4000,https://sh.58.com/zufang/44645078119969x.shtml
单间 | 金沙湾绿地和苑(一期) 2室1厅1卫 次卧 南,金沙湾绿地和苑(一期),1300,https://sh.58.com/hezu/44743275073548x.shtml
整租 | 富友嘉园(南区) 3室2厅1卫 钥匙房 已空关 随时,富友嘉园(南区),4500,https://sh.58.com/zufang/44554765109515x.shtml
整租 | 兰棠佳苑一室一厅精装修全配周边生活购物方便,兰棠佳苑,1800,https://sh.58.com/zufang/44733447001346x.shtml
整租 | 金运路地铁口，精装全配一室一厅，手机实拍，看房随时拎,澜茵华庭(东区),4000,https://sh.58.com/zufang/44645078119969x.shtml
整租 | 合景峰汇 2室1厅1卫,合景峰汇,2900,https://sh.58.com/zufang/44682518344325x.shtml
整租 | 保真！！真实存在 假一罚十 钥匙房 随时看房  朝南,海伦堡爱ME城市,3800,https://sh.58.com/zufang/44581600112261x.shtml
整租 | 近11号线嘉定新城站，整租独立一室户，给漂泊的你一个,胜辛南路800号办公楼,1500,https://sh.58.com/zufang/44598630594566x.shtml
整租 | 拧包入住，业主诚心出租 近大融城 环境OK 住的人多,保利湖畔阳光苑(西区),4100,https://sh.58.com/zufang/44637329612185x.shtml
单间 | 戬浜社区20弄小区 3室1厅1卫 主卧 南,戬浜社区20弄小区,1200,https://sh.58.com/hezu/44744776734228x.shtml
整租 | 整租一居室，民用水电，金运路地铁口，手机实拍，近万达,大宅风范城,2600,https://sh.58.com/zufang/44732778078491x.shtml
整租 | 近安亭地铁站温馨一居室，装修奈斯，适合情侣和单身住可,世昶生活广场,1300,https://sh.58.com/zufang/44543599437968x.shtml
整租 | 地铁直达徐家汇 商圈好 购物方便 无中介费 看中入住,嘉峰汇财富广场,2560,https://sh.58.com/zufang/44524170720163x.shtml
整租 | 澜茵华庭(东区) 2室1厅1卫,澜茵华庭(东区),4200,https://sh.58.com/zufang/44614987143705x.shtml
整租 | 近地铁站 兰棠佳苑 精装修大两房 可办居住证 南北通,兰棠佳苑,2400,https://sh.58.com/zufang/44733570123144x.shtml
整租 | 13号线金运路，正规1室1厅，朝南阳光好，付一押一，,泰宸复兴苑,2700,https://sh.58.com/zufang/44732817774601x.shtml
整租 | 11号线 嘉定西附近 一室一厅整租 押一付一 随时看,练祁佳城永泰嘉苑(608...,2000,https://sh.58.com/zufang/44668938143399x.shtml
整租 | 新城金郡(二期南区公寓住宅) 2室2厅1卫,新城金郡(二期南区公寓住...,4600,https://sh.58.com/zufang/44720733517326x.shtml
整租 | 整租，阳光房，独立厨卫，精装，可短租，月付，随时看房,胜辛南路800号办公楼,1500,https://sh.58.com/zufang/44721913157637x.shtml
整租 | 非中介 精装一室户 独立厨卫 可短租 拎包入住 随时,胜辛南路800号办公楼,1664,https://sh.58.com/zufang/44699055327876x.shtml
整租 | 办暂住证精装修 环境优美 近真新学校 近14号地铁,嘉利坊,3600,https://sh.58.com/zufang/44721470068242x.shtml
单间 | 天禧嘉苑(北区) 2室1厅1卫 次卧 南,天禧嘉苑(北区),1000,https://sh.58.com/hezu/44601200261402x.shtml
整租 | 上实海上荟 精装两房 近远香湖公园 价格可谈 拎包入,上实海上荟(公寓住宅),3300,https://sh.58.com/zufang/44714543248920x.shtml
单间 | 蛋壳受过伤的租客看过来房租月付可办居住证朝南大主卧独,日月光伯爵天地,1420,https://sh.58.com/hezu/44516970849556x.shtml
单间 | 大阳台，原价1650，月底前仅需1300，押一付一，,日月光伯爵天地鼎固君庭,1300,https://sh.58.com/hezu/44623892210049x.shtml
整租 | 湖畔天下(公寓住宅) 3室 3厅2卫,湖畔天下(公寓住宅),6500,https://sh.58.com/zufang/44744720600870x.shtml
整租 | 地铁旁万达广场1室1厅1卫 3300元月 装修漂亮,嘉定万达广场(商住楼),3300,https://sh.58.com/zufang/44611537189147x.shtml
整租 | 爱德佳苑位于爱特路185弄50平米，月租3350,爱德佳苑(一期),3350,https://sh.58.com/zufang/44580236276632x.shtml
整租 | 嘉定万达，马陆大融城，南翔商圈，整租一室户，可月付，,胜辛南路800号办公楼,1500,https://sh.58.com/zufang/44598681264790x.shtml
整租 | 花圃小镇(上海包装城) 1室0厅1卫,花圃小镇(上海包装城),1580,https://sh.58.com/zufang/44568060526600x.shtml
整租 | 刚退租精装一房 近轻纺市场 毗邻14号地铁站 家具家,嘉利坊,2900,https://sh.58.com/zufang/44724316706204x.shtml
整租 | 十一号线南翔站 近中冶广场 配套完善 齐全 价格便宜,中冶祥腾城市佳园(一期),2800,https://sh.58.com/zufang/44627834505504x.shtml
单间 | 温馨宜居，独卫自用，纯女生合租，南向主卧，民用水电，,日月光伯爵天地鼎固君庭,1750,https://sh.58.com/hezu/44646190544399x.shtml
整租 | 澜茵华庭(东区) 2室1厅1卫,澜茵华庭(东区),4500,https://sh.58.com/zufang/44744669696259x.shtml
整租 | 封浜，大两房，房东人好，全家超市楼上空间超大，随时看,乡思路60弄小区,3300,https://sh.58.com/zufang/44698974756233x.shtml
整租 | 风荷丽景尚城 环境优美 精装修 配套齐全 随时看房,风荷丽景尚城(东区公寓住...,4800,https://sh.58.com/zufang/44744152293258x.shtml
整租 | 保利家园(北区别墅) 4室3厅4卫,保利家园(北区别墅),11800,https://sh.58.com/zufang/44744610510215x.shtml
整租 | 手机实拍房源，近地铁金运路和万达，真盘实价，可做员工,大宅风范城,6500,https://sh.58.com/zufang/44737692312590x.shtml
整租 | 嘉定西地铁站附近 一室一厅整租 押一付一 水电民用,练祁佳城绿地家苑(355...,2100,https://sh.58.com/zufang/44668994383907x.shtml
整租 | 一口价毛坯房！！！带车位！！！南北双阳台！！视野非常,中星海上名豪苑御菁园,3800,https://sh.58.com/zufang/44634645220512x.shtml
单间 | 金鹤新城双佳翠庭 3室1厅1卫 主卧 南,金鹤新城双佳翠庭,1500,https://sh.58.com/hezu/44668297433626x.shtml
整租 | 光明D9空间精装两房有阳台晒衣服方便适合居家朝远香湖,光明D9空间,3800,https://sh.58.com/zufang/44744502650007x.shtml
整租 | 11号地铁马陆安高东方御府精装 3室2厅 南北通,安高东方名邸,5000,https://sh.58.com/zufang/44678799165979x.shtml
整租 | 金运路地铁口，三室一厅，手机实拍视频，房东急租，捡漏,澜茵华庭(东区),5000,https://sh.58.com/zufang/44737705770499x.shtml
单间 | 兰郡花田洋房 2室1厅1卫 次卧 西南,兰郡花田洋房,750,https://sh.58.com/hezu/44732694216995x.shtml
整租 | 豪华装修，租1年送2月随时看有钥匙，阳光充足，指纹锁,红土天阶,2790,https://sh.58.com/zufang/44124390638874x.shtml
整租 | 嘉隆国际 独厨独卫一室户 押一付一 随时看房入住 精,嘉隆国际,1400,https://sh.58.com/zufang/44654422128295x.shtml
整租 | 主卧朝南，次卧朝北。房子整体保养的很好,中信泰富又一城(一期),4500,https://sh.58.com/zufang/44637298509597x.shtml
单间 | 逸香园 3室1厅2卫 次卧 东南,逸香园,2500,https://sh.58.com/hezu/44746789924232x.shtml
整租 | 金沙丽晶苑一期，精装修电梯一房一厅，邻近十三号线丰庄,金沙丽晶苑(一期),3700,https://sh.58.com/zufang/44666906597270x.shtml
单间 | 男女不限，朝南带飘窗户型，押一付一，民用水电，可办居,日月光伯爵天地鼎固君庭,990,https://sh.58.com/hezu/44654041907601x.shtml
整租 | 月付随时看房 不收中介非 拎包入住,漳翔路1086弄2号楼,849,https://sh.58.com/zufang/44712775402270x.shtml
单间 | 金鹤新城水岸秀苑 1室0厅1卫 主卧 南,金鹤新城水岸秀苑,2500,https://sh.58.com/hezu/44746805029889x.shtml
整租 | 临近地铁站 芙蓉新村精装两房 对面是集贸市场购物方便,芙蓉新村,1280,https://sh.58.com/zufang/44698492266113x.shtml
整租 | 新城金郡 精装复式两房 主卧朝南 近白银路地铁站 拎,新城金郡(二期南区商住楼...,3500,https://sh.58.com/zufang/44714605327898x.shtml
整租 | 金沙社区，房东收次出租，精装全配，拎包入住，本人实勘,金沙社区,4500,https://sh.58.com/zufang/44667052558722x.shtml
整租 | 桃园别墅 1室0厅1卫,桃园别墅,1000,https://sh.58.com/zufang/44746731475107x.shtml
"单间 | 蠡家真实房屋, 品质小区,生活便利,价格可谈",保利湖畔阳光苑(西区),2000,https://sh.58.com/hezu/44667396812935x.shtml
整租 | 南翔地铁口，通燃气通水，精装办公楼带办公家具，入驻即,中冶祥腾城市广场,10000,https://sh.58.com/zufang/44687291255452x.shtml
整租 | 德华一村，精装修2房，近南翔地铁，房东诚心出租，随时,德华一村,3200,https://sh.58.com/zufang/44690645053212x.shtml
单间 | 外冈佳苑(东区) 3室2厅2卫 主卧 南,外冈佳苑(东区),780,https://sh.58.com/hezu/44532353627160x.shtml
整租 | 正规一房一厅，温馨小窝，基础设施完备，交通便利，随时,嘉美坊,3300,https://sh.58.com/zufang/44732126309517x.shtml
整租 | 年底特价 我是房东 精装修 家具家电全配 可以烧饭，,绿苑一村,1344,https://sh.58.com/zufang/44698866786703x.shtml
整租 | 新挂牌枫树林景苑 2室采光好 近地铁 大融城 看房随,枫树林景苑(南区),2700,https://sh.58.com/zufang/44664964371329x.shtml
单间 | 嘉宝都市港湾(一期) 3室1厅1卫 次卧 北,嘉宝都市港湾(一期),2300,https://sh.58.com/hezu/44559514582278x.shtml
整租 | 明日新苑，精装修两房，拎包入住，本人实勘，全明户型，,明日新苑,5300,https://sh.58.com/zufang/44667093148821x.shtml
整租 | 拒绝D价吸引 中间楼层 精装一房 家电齐全 有钥匙,嘉利坊,3300,https://sh.58.com/zufang/44634485848325x.shtml
单间 | 纯女生，可办居住证，押一付一近地铁，民用水电，可做饭,日月光伯爵天地鼎固君庭,1000,https://sh.58.com/hezu/44646779403554x.shtml
整租 | 西上海御庭(曹安景林苑) 2室2厅1卫,西上海御庭(曹安景林苑),2900,https://sh.58.com/zufang/44145139819653x.shtml
整租 | 家电齐全，拎包入住，已空关，随时看房，周边配套齐全，,嘉善坊,3900,https://sh.58.com/zufang/44656467329959x.shtml
整租 | 安亭整租一室，独门独户，配套齐全，房东人好，小区环境,安亭中央公园(公寓住宅),1200,https://sh.58.com/zufang/44709920453283x.shtml
单间 | 金鹤新城中房公寓 2室2厅1卫 主卧 南,金鹤新城中房公寓,1500,https://sh.58.com/hezu/44324653651476x.shtml
整租 | 目前手里多套一居 嘉龙大厦 1号公馆门口 精装复式,嘉龙大厦,3000,https://sh.58.com/zufang/44570324080792x.shtml
单间 | 无中介嘉定北地铁站日月光鼎固君庭民用电,日月光伯爵天地鼎固君庭,990,https://sh.58.com/hezu/44665956256658x.shtml
整租 | 龙湖精装全配小三房，全新家居可办居住证 赠送固定车位,龙湖天璞,7000,https://sh.58.com/zufang/43825448628646x.shtml
单间 | 嘉城幸福港 3室2厅3卫 主卧 南,嘉城幸福港,1800,https://sh.58.com/hezu/44722289388557x.shtml
整租 | 豪华装修，价格真实，近南翔地铁站500米,绿地新翔家园,3400,https://sh.58.com/zufang/44700936957717x.shtml
整租 | 海伦堡海伦广场 精装两房 近嘉定新城地铁站 拎包入住,海伦堡海伦广场,2500,https://sh.58.com/zufang/44367308517271x.shtml
"整租 | 缘圆宝坻 精装一室户,多套户型可选,看房随时,拎包即",万达城市公寓,2788,https://sh.58.com/zufang/44731799245351x.shtml
单间 | 大宅风范城 2室1厅1卫 主卧 南,大宅风范城,1500,https://sh.58.com/hezu/44258492582426x.shtml
单间 | 云翔佳苑 精装修 单间出租 欢迎致电,云翔佳苑,1400,https://sh.58.com/hezu/44493421238174x.shtml
整租 | 拎包入住 1室1厅1卫 1589元月 0中介,胜辛南路800号办公楼,1589,https://sh.58.com/zufang/44711108501897x.shtml
整租 | 安亭近大众 整租两房两厅 电梯房 精装全配 房间干净,澳丽映象嘉园,2500,https://sh.58.com/zufang/44632313442330x.shtml
整租 | 曹安公路4510号楼 1室0厅1卫,曹安公路4510号楼,1100,https://sh.58.com/zufang/42684274258845x.shtml
整租 | 合景峰汇精装2室朝南出租,合景峰汇,3000,https://sh.58.com/zufang/44226382406685x.shtml
单间 | 玉兰三村押一付一，家电齐全，近市民广场，随时可租，水,玉兰三村,900,https://sh.58.com/hezu/44478979687447x.shtml
整租 | 同济科技园旁边 莱英北郡 毛坯3房2400 有部分东,莱英北郡(公寓住宅),2400,https://sh.58.com/zufang/44446140616842x.shtml
整租 | 曹安公路4510号楼 1室0厅1卫,曹安公路4510号楼,800,https://sh.58.com/zufang/44359850451999x.shtml
整租 | 年底好房 降价出租 家电齐全 拎包入住 和房东签约,嘉利坊,3700,https://sh.58.com/zufang/44699224608387x.shtml
整租 | 金运路万达商圈，电梯高区采光好，居家全配，随时入驻，,金沙鼎苑,4350,https://sh.58.com/zufang/44687227657236x.shtml
单间 | 大名城名郡 飘窗单间 1100元月 月付,大名城名郡,1100,https://sh.58.com/hezu/44743143741730x.shtml
单间 | 绿地颐景嘉园 4室1厅1卫 次卧 北,绿地颐景嘉园,1280,https://sh.58.com/hezu/44103984194824x.shtml
整租 | 龙湖郦城 有阳台 2600元月 精装修 看房子方便，,龙湖郦城(商住楼),2600,https://sh.58.com/zufang/44588480928160x.shtml
整租 | 房租949元 月付 随时看房 不收中介非 拎包入住,漳翔路1086弄2号楼,949,https://sh.58.com/zufang/44666031198742x.shtml
单间 | 用心服务 可短租3个月 无仲阶费 真实押一付一 民用,日月光伯爵天地城市华庭,990,https://sh.58.com/hezu/44687209908517x.shtml
单间 | 宏立瑞园 3室2厅2卫 次卧 南,宏立瑞园,800,https://sh.58.com/hezu/44553562674454x.shtml
"整租 | 秒杀房源,3室,别有洞天!舒适如新,经典把握,机会难",龙湖天璞,7000,https://sh.58.com/zufang/44643229368479x.shtml
整租 | 真实 房源 万达广场和13号地铁口旁,大宅风范城,2580,https://sh.58.com/zufang/44270910646952x.shtml
整租 | 江桥佳苑 2室1厅1卫  精装修 配套齐全,江桥佳苑,3300,https://sh.58.com/zufang/43924921502088x.shtml
整租 | 金鹤新城城杰苑 2室1厅1卫,金鹤新城城杰苑,5300,https://sh.58.com/zufang/44742424299166x.shtml
整租 | 嘉定西附近 一室一厅 押一付一 随时看房入住 水电民,同盛园,2000,https://sh.58.com/zufang/44668972278538x.shtml
单间 | 繁华配套 水电民用 押一付一 与房东直签合同 卫生已,泰宸沙河茗苑,2000,https://sh.58.com/hezu/44722889175204x.shtml
整租 | 合景峰汇 2室1厅1卫 3000元月 价格可谈 自住,合景峰汇,2800,https://sh.58.com/zufang/44477350860326x.shtml
单间 | 绿地颐景嘉园 4室1厅1卫 次卧 北,绿地颐景嘉园,1000,https://sh.58.com/hezu/44071429103628x.shtml
单间 | 金运路地铁  精装修主卧 价格优惠,大宅风范城,2000,https://sh.58.com/hezu/44227294881296x.shtml
整租 | 捡漏精装小复式时尚装修风格大落地窗彩光非常好,万立城(公寓住宅),1600,https://sh.58.com/zufang/44623749101074x.shtml
单间 | 绿地海域苏河源(二期) 4室1厅2卫 次卧 东,绿地海域苏河源(二期),850,https://sh.58.com/hezu/44732360671507x.shtml
单间 | 实图实价，随时可看房，拎包入住。可短租 房子对客户无,日月光伯爵公馆,960,https://sh.58.com/hezu/44602535820417x.shtml
整租 | 11号地铁好世商业广场 2室1厅 复式 东,好世广场天马晶座,4000,https://sh.58.com/zufang/44678828329356x.shtml
单间 | 朝南主卧带阳台 大飘窗 让你在房间里感受到夏天一样的,日月光伯爵天地鼎固君庭,1360,https://sh.58.com/hezu/44621444682114x.shtml
整租 | 竹园公寓 2室 1厅1卫,竹园公寓,2600,https://sh.58.com/zufang/44743242168872x.shtml
整租 | 南翔云翔佳苑精装一室一厅,云翔佳苑(南区),2900,https://sh.58.com/zufang/44477939694217x.shtml
单间 | 折扣到月底，原1330现1050每月，可短租，押一付,日月光伯爵天地鼎固君庭,1050,https://sh.58.com/hezu/44676066960536x.shtml
单间 | 地铁口200米 可以短租  高档小区 家电齐全，拎包,日月光伯爵天地城市华庭,1400,https://sh.58.com/hezu/44502266947460x.shtml
单间 | 金鹤新城双佳翠庭 2室1厅1卫 主卧 南,金鹤新城双佳翠庭,1600,https://sh.58.com/hezu/44603889421212x.shtml
整租 | 紧邻安亭地铁口 整租一室 朝南精准全配 押一付一 拎,嘉正国际大厦,1300,https://sh.58.com/zufang/44743935668612x.shtml
单间 | 可短租 纯女生 11号线地铁700米 无仲阶费 押一,日月光伯爵天地鼎固君庭,1020,https://sh.58.com/hezu/44687173852322x.shtml
整租 | 近11号线马陆站，品牌公寓！可短租！月付！独立厨卫！,胜辛南路800号办公楼,1500,https://sh.58.com/zufang/44598766868248x.shtml
单间 | 浏翔花苑 4室2厅3卫 主卧 南,浏翔花苑,1800,https://sh.58.com/hezu/44359155899905x.shtml
整租 | 11号线 地铁直达江苏路 精装修 家具齐全 超大窗户,桃园公寓(嘉定),2114,https://sh.58.com/zufang/44535256371741x.shtml
整租 | 胜辛南路800号办公楼 1室1厅1卫 1598元月,胜辛南路800号办公楼,1598,https://sh.58.com/zufang/44711228597656x.shtml
整租 | 大宅新出精装三房近地铁万达广场 可做员工宿舍 另有多,大宅风范城,5000,https://sh.58.com/zufang/44742806498192x.shtml
单间 | 三元及地苑 3室2厅2卫 次卧 南,三元及地苑,1300,https://sh.58.com/hezu/44179170559123x.shtml
整租 | 江桥老街附近，精装二室一厅一卫，民用水电燃气做饭,江桥佳苑,4300,https://sh.58.com/zufang/44734786406807x.shtml
整租 | 宝龙广场 太湖世家 远香湖公园 看房方便 一室通燃气,光明D9空间,2700,https://sh.58.com/zufang/44700534709253x.shtml
整租 | 刚退租好房急租，近百联梅川步行街，中间楼层精装一房，,嘉利坊,2800,https://sh.58.com/zufang/44599116237831x.shtml
单间 | 龙湖郦城(西区公寓住宅) 1室0厅0卫 次卧 南,龙湖郦城(西区公寓住宅),1650,https://sh.58.com/hezu/44328095199142x.shtml
整租 | 目前手里多套一居 嘉龙大厦 1号公馆门口 精装复式,嘉龙大厦,3000,https://sh.58.com/zufang/44570324080792x.shtml
单间 | 无中介嘉定北地铁站日月光鼎固君庭民用电,日月光伯爵天地鼎固君庭,990,https://sh.58.com/hezu/44665956256658x.shtml
整租 | 豪华装修，价格真实，近南翔地铁站500米,绿地新翔家园,3400,https://sh.58.com/zufang/44700936957717x.shtml
单间 | 泰宸沙河茗苑 2室1厅1卫 主卧 南,泰宸沙河茗苑,1850,https://sh.58.com/hezu/44577122684429x.shtml
整租 | 海伦堡海伦广场 精装两房 近嘉定新城地铁站 拎包入住,海伦堡海伦广场,2500,https://sh.58.com/zufang/44367308517271x.shtml
"整租 | 缘圆宝坻 精装一室户,多套户型可选,看房随时,拎包即",万达城市公寓,2788,https://sh.58.com/zufang/44731799245351x.shtml
单间 | 云翔佳苑 精装修 单间出租 欢迎致电,云翔佳苑,1400,https://sh.58.com/hezu/44493421238174x.shtml
整租 | 路劲上海派Ⅱ盛世景庭 2室1厅1卫,路劲上海派Ⅱ盛世景庭,2800,https://sh.58.com/zufang/44743100755741x.shtml
整租 | 拎包入住 1室1厅1卫 1589元月 0中介,胜辛南路800号办公楼,1589,https://sh.58.com/zufang/44711108501897x.shtml
整租 | 安亭近大众 整租两房两厅 电梯房 精装全配 房间干净,澳丽映象嘉园,2500,https://sh.58.com/zufang/44632313442330x.shtml
整租 | 合景峰汇精装2室朝南出租,合景峰汇,3000,https://sh.58.com/zufang/44226382406685x.shtml
整租 | 枫树林景苑(北区) 3室2厅2卫,枫树林景苑(北区),5000,https://sh.58.com/zufang/44743085259147x.shtml
单间 | 玉兰三村押一付一，家电齐全，近市民广场，随时可租，水,玉兰三村,900,https://sh.58.com/hezu/44478979687447x.shtml
整租 | 同济科技园旁边 莱英北郡 毛坯3房2400 有部分东,莱英北郡(公寓住宅),2400,https://sh.58.com/zufang/44446140616842x.shtml
整租 | 新郁社区 1室1厅1卫,新郁社区,3800,https://sh.58.com/zufang/44743088892820x.shtml
整租 | 年底好房 降价出租 家电齐全 拎包入住 和房东签约,嘉利坊,3700,https://sh.58.com/zufang/44699224608387x.shtml
单间 | 大名城名郡 飘窗单间 1100元月 月付,大名城名郡,1100,https://sh.58.com/hezu/44743143741730x.shtml
整租 | 龙湖郦城 有阳台 2600元月 精装修 看房子方便，,龙湖郦城(商住楼),2600,https://sh.58.com/zufang/44588480928160x.shtml
整租 | 海伦小区 3室3厅2卫,海伦小区,6000,https://sh.58.com/zufang/44613649176336x.shtml
整租 | 房租949元 月付 随时看房 不收中介非 拎包入住,漳翔路1086弄2号楼,949,https://sh.58.com/zufang/44666031198742x.shtml
单间 | 用心服务 可短租3个月 无仲阶费 真实押一付一 民用,日月光伯爵天地城市华庭,990,https://sh.58.com/hezu/44687209908517x.shtml
"整租 | 秒杀房源,3室,别有洞天!舒适如新,经典把握,机会难",龙湖天璞,7000,https://sh.58.com/zufang/44643229368479x.shtml
整租 | 金鹤新城中房公寓 2室1厅1卫,金鹤新城中房公寓,3800,https://sh.58.com/zufang/44744567264549x.shtml
整租 | 嘉定西附近 一室一厅 押一付一 随时看房入住 水电民,同盛园,2000,https://sh.58.com/zufang/44668972278538x.shtml
单间 | 繁华配套 水电民用 押一付一 与房东直签合同 卫生已,泰宸沙河茗苑,2000,https://sh.58.com/hezu/44722889175204x.shtml
整租 | 地铁口 精装一室朝南户型 水电名用 房子非常漂亮,紫荆四村,1300,https://sh.58.com/zufang/44698529881377x.shtml
单间 | 嘉城爱琴海 3室2厅2卫 主卧 南,嘉城爱琴海,1000,https://sh.58.com/hezu/44536677554586x.shtml
整租 | 富友嘉园(南区) 3室2厅1卫 钥匙房 已空关 随时,富友嘉园(南区),4500,https://sh.58.com/zufang/44554765109515x.shtml
整租 | 兰棠佳苑一室一厅精装修全配周边生活购物方便,兰棠佳苑,1800,https://sh.58.com/zufang/44733447001346x.shtml
整租 | 金运路地铁口，精装全配一室一厅，手机实拍，看房随时拎,澜茵华庭(东区),4000,https://sh.58.com/zufang/44645078119969x.shtml
整租 | 新城公馆(公寓住宅) 4室 2厅2卫,新城公馆(公寓住宅),8000,https://sh.58.com/zufang/44744358225823x.shtml
整租 | 保真！！真实存在 假一罚十 钥匙房 随时看房  朝南,海伦堡爱ME城市,3800,https://sh.58.com/zufang/44581600112261x.shtml
整租 | 近11号线嘉定新城站，整租独立一室户，给漂泊的你一个,胜辛南路800号办公楼,1500,https://sh.58.com/zufang/44598630594566x.shtml
整租 | 拧包入住，业主诚心出租 近大融城 环境OK 住的人多,保利湖畔阳光苑(西区),4100,https://sh.58.com/zufang/44637329612185x.shtml
整租 | 翔瑞新苑(东区) 2室1厅1卫,翔瑞新苑(东区),3800,https://sh.58.com/zufang/44744328611098x.shtml
整租 | 整租一居室，民用水电，金运路地铁口，手机实拍，近万达,大宅风范城,2600,https://sh.58.com/zufang/44732778078491x.shtml
整租 | 近安亭地铁站温馨一居室，装修奈斯，适合情侣和单身住可,世昶生活广场,1300,https://sh.58.com/zufang/44543599437968x.shtml
整租 | 地铁直达徐家汇 商圈好 购物方便 无中介费 看中入住,嘉峰汇财富广场,2560,https://sh.58.com/zufang/44524170720163x.shtml
单间 | 张马路18弄小区 2室1厅1卫 次卧 北,张马路18弄小区,700,https://sh.58.com/hezu/44744201762569x.shtml
