<<<<<<< HEAD
<<<<<<< HEAD
﻿整租 | 租房 龙华清湖双地铁 ，全新家具拎包入住，有全新公共,弓村二区,3060,https://sz.58.com/zufang/45364952983707x.shtml,经度,纬度
单间 | 骏丰玲珑坊东苑 3室0厅1卫 次卧 北,骏丰玲珑坊东苑,1100,https://sh.58.com/hezu/44743969155472x.shtml,121.473701,31.230416
整租 | 精装一楼两房一厅，楼层低，装修好，家电齐，拎包入住，,真新新村嘉秀坊,3900,https://sh.58.com/zufang/44656484718726x.shtml,121.473701,31.230416
整租 | 印象城800米 湖畔天下 湖景三房 5200元月 电,湖畔天下(公寓住宅),5200,https://sh.58.com/zufang/43519854367782x.shtml,121.473701,31.230416
单间 | 嘉星小区 2室1厅1卫 主卧 朝南,嘉星小区,1100,https://sh.58.com/hezu/44732043393427x.shtml,121.473701,31.230416
整租 | AAA 你已经弄乱了我的心，什么时候弄乱我的床,嘉定上影商业广场,2588,https://sh.58.com/zufang/44742274524967x.shtml,121.473701,31.230416
整租 | 高端小区素质住户 精装一房 11号线地铁口 房子非常,红梅小区(嘉定),1500,https://sh.58.com/zufang/44715155424662x.shtml,121.473701,31.230416
单间 | 可短租 蛋壳违约房东收房 与房东直签 独立厨房卫生间,大宅风范城,1700,https://sh.58.com/hezu/44690255642899x.shtml,121.473701,31.230416
整租 | 永翔佳苑(东区) 1室 0厅1卫,永翔佳苑(东区),1480,https://sh.58.com/zufang/44744945680132x.shtml,121.473701,31.230416
整租 | 协通大一房 婚房装修 中间楼层 位置安静方便停车 求,协通公寓,2100,https://sh.58.com/zufang/44665246189857x.shtml,121.473701,31.230416
整租 | 嘉定北地铁口 日月光鼎固君庭 两房出租 民用水电押一,日月光伯爵天地鼎固君庭,3800,https://sh.58.com/zufang/44516780868640x.shtml,121.473701,31.230416
整租 | 近嘉定新城地铁站 万达广场 精装全配 随时看房 拎包,合景理想家,2300,https://sh.58.com/zufang/44692418242968x.shtml,121.473701,31.230416
单间 | 嘉城幸福港 3室2厅3卫 主卧 南,嘉城幸福港,1800,https://sh.58.com/hezu/44722289388557x.shtml,121.473701,31.230416
"整租 | 封浜性价比高的房源,东华环球市场",东华环球建材市场,800,https://sh.58.com/zufang/44742329175581x.shtml,121.473701,31.230416
整租 | 胜辛南路800号办公楼 1室1厅1卫 1569元月,胜辛南路800号办公楼,1569,https://sh.58.com/zufang/44711207476481x.shtml,121.473701,31.230416
单间 | 可短租 性价比高 无仲阶费近地铁 民用水电押一付一,阳光嘉苑,880,https://sh.58.com/hezu/44687130554126x.shtml,121.473701,31.230416
整租 | 曹安公路4510号楼 1室0厅1卫,曹安公路4510号楼,800,https://sh.58.com/zufang/44359850451999x.shtml,121.473701,31.230416
整租 | 整租一室户，民用水电，近地铁和万达，手机实拍视频，拎,澜茵华庭(东区),2300,https://sh.58.com/zufang/44732771039375x.shtml,121.473701,31.230416
整租 | 新出好房，可合租养宠物，租金月付，温馨居家，干净清爽,嘉尚坊,3300,https://sh.58.com/zufang/44732126258197x.shtml,121.473701,31.230416
单间 | 单间出租嘉定新城宝龙广场，精装修一室户，看房随时电话,嘉定宝龙城市广场,1800,https://sh.58.com/hezu/44743979508496x.shtml,121.473701,31.230416
整租 | 曹安公路4510号楼 1室0厅1卫,曹安公路4510号楼,800,https://sh.58.com/zufang/42684201426208x.shtml,121.473701,31.230416
整租 | 未来城 楼上楼下 家具家电齐全 拎包入住 3300,MAX未来,3300,https://sh.58.com/zufang/44293217214481x.shtml,121.473701,31.230416
整租 | 黄渡大众春盛苑精装标准大大大3房2厅 南北通透 可随,大众春盛苑(公寓住宅),3600,https://sh.58.com/zufang/44723177709842x.shtml,121.473701,31.230416
整租 | 11号线马陆站，精装一房，民用水电，可办居住证，临近,金沙湾绿地和苑(一期),650,https://sh.58.com/zufang/44465940209549x.shtml,121.473701,31.230416
单间 | 大名城名郡 4室2厅2卫 次卧 东,大名城名郡,850,https://sh.58.com/hezu/44692158102432x.shtml,121.473701,31.230416
整租 | 精装好房，可押0付1，精装修，温馨居家，看房随时，拎,嘉美坊,3900,https://sh.58.com/zufang/44656475286309x.shtml,121.473701,31.230416
整租 | 五彩城旁 四季恒温中央空调地暖车位精装全配拎包即住,朗诗绿色街区,11800,https://sh.58.com/zufang/44211483016194x.shtml,121.473701,31.230416
整租 | 近11号线实拍芙蓉新村 原自住 精装全配 楼层好 商,芙蓉新村,3500,https://sh.58.com/zufang/44647585169307x.shtml,121.473701,31.230416
单间 | 金沙湾绿地和苑(一期) 3室1厅3卫 次卧 南北,金沙湾绿地和苑(一期),900,https://sh.58.com/hezu/44699700260747x.shtml,121.473701,31.230416
整租 | 澜茵华庭精装四房一厅可居家可员工出租近地铁万达广场拎,澜茵华庭(西区),6500,https://sh.58.com/zufang/44742927037842x.shtml,121.473701,31.230416
整租 | 绿地新江桥城  离地铁近 配套齐全 生活方便 精装拎,绿地新江桥城(东区),5900,https://sh.58.com/zufang/44501368769550x.shtml,121.473701,31.230416
单间 | 绿地新江桥城 随时看房押一付一 拎包入住精装修,绿地新江桥城(东区),2000,https://sh.58.com/hezu/44665797801633x.shtml,121.473701,31.230416
整租 | 金沙湾绿地和苑(二期) 2室1厅1卫,金沙湾绿地和苑(二期),3600,https://sh.58.com/zufang/44742307422594x.shtml,121.473701,31.230416
整租 | 曹安公路东华环球市场精装修公寓出租,黄渡镇联西村,800,https://sh.58.com/zufang/44515128356743x.shtml,121.473701,31.230416
整租 | 龙湖郦城四房两厅精装修地铁11号线嘉定新城可以办居住,龙湖郦城(西区公寓住宅),7200,https://sh.58.com/zufang/44656374763010x.shtml,121.473701,31.230416
整租 | 新出房源，电梯房1房整套出租中，随时看房，直租。,水岸金桥苑,2800,https://sh.58.com/zufang/44289880239780x.shtml,121.473701,31.230416
单间 | 育兰二村 3室2厅2卫 主卧 南,育兰二村,1050,https://sh.58.com/hezu/39717366831764x.shtml,121.473701,31.230416
整租 | 13号线江桥万达附近安歆公寓员工宿舍拎包入住入户打扫,天际蓝桥,600,https://sh.58.com/zufang/43172061924119x.shtml,121.473701,31.230416
整租 | 远离都市喧嚣，回归自然本色，识交三五良友，共享尊雅生,利金国际,2000,https://sh.58.com/zufang/43815354271389x.shtml,121.473701,31.230416
单间 | 金沙湾绿地和苑(一期) 3室1厅2卫 次卧 南,金沙湾绿地和苑(一期),1099,https://sh.58.com/hezu/44655398589474x.shtml,121.473701,31.230416
整租 | 精装好房，可押0付1，精装修，温馨居家，看房随时，拎,嘉美坊,3900,https://sh.58.com/zufang/44656475286309x.shtml,121.473701,31.230416
整租 | 五彩城旁 四季恒温中央空调地暖车位精装全配拎包即住,朗诗绿色街区,11800,https://sh.58.com/zufang/44211483016194x.shtml,121.473701,31.230416
整租 | 近11号线实拍芙蓉新村 原自住 精装全配 楼层好 商,芙蓉新村,3500,https://sh.58.com/zufang/44647585169307x.shtml,121.473701,31.230416
整租 | 景悦名苑 2室1厅1卫,景悦名苑,3000,https://sh.58.com/zufang/44742285551105x.shtml,121.473701,31.230416
整租 | 澜茵华庭精装四房一厅可居家可员工出租近地铁万达广场拎,澜茵华庭(西区),6500,https://sh.58.com/zufang/44742927037842x.shtml,121.473701,31.230416
整租 | 绿地新江桥城  离地铁近 配套齐全 生活方便 精装拎,绿地新江桥城(东区),5900,https://sh.58.com/zufang/44501368769550x.shtml,121.473701,31.230416
单间 | 绿地新江桥城 随时看房押一付一 拎包入住精装修,绿地新江桥城(东区),2000,https://sh.58.com/hezu/44665797801633x.shtml,121.473701,31.230416
单间 | 嘉城爱琴海 3室2厅1卫 主卧 南,嘉城爱琴海,900,https://sh.58.com/hezu/44323737376648x.shtml,121.473701,31.230416
整租 | 曹安公路东华环球市场精装修公寓出租,黄渡镇联西村,800,https://sh.58.com/zufang/44515128356743x.shtml,121.473701,31.230416
整租 | 龙湖郦城四房两厅精装修地铁11号线嘉定新城可以办居住,龙湖郦城(西区公寓住宅),7200,https://sh.58.com/zufang/44656374763010x.shtml,121.473701,31.230416
整租 | 新出房源，电梯房1房整套出租中，随时看房，直租。,水岸金桥苑,2800,https://sh.58.com/zufang/44289880239780x.shtml,121.473701,31.230416
单间 | 外冈景苑 3室1厅1卫 主卧 南,外冈景苑,830,https://sh.58.com/hezu/44731651006615x.shtml,121.473701,31.230416
整租 | 13号线江桥万达附近安歆公寓员工宿舍拎包入住入户打扫,天际蓝桥,600,https://sh.58.com/zufang/43172061924119x.shtml,121.473701,31.230416
整租 | 远离都市喧嚣，回归自然本色，识交三五良友，共享尊雅生,利金国际,2000,https://sh.58.com/zufang/43815354271389x.shtml,121.473701,31.230416
单间 | 地铁口 精装南卧出租 走路到地铁 可短租 随时看房,日月光伯爵天地鼎固君庭,1130,https://sh.58.com/hezu/44631795094689x.shtml,121.473701,31.230416
单间 | 胜悦嘉苑(东苑) 2室1厅1卫 次卧 朝北,胜悦嘉苑(东苑),850,https://sh.58.com/hezu/44699970697729x.shtml,121.473701,31.230416
整租 | 德华一村 精装全配 采光无遮挡 102平 配套齐全,德华一村,4500,https://sh.58.com/zufang/44510268497437x.shtml,121.473701,31.230416
整租 | 新出精装一房，有钥匙随时看，近地铁，中环百联，家电齐,真新新村嘉秀坊,3200,https://sh.58.com/zufang/44522019954450x.shtml,121.473701,31.230416
整租 | 可以办居住证，白银路地铁站 精装三房 家具家电全配,保利星海屿筑(北区),5000,https://sh.58.com/zufang/44291858803214x.shtml,121.473701,31.230416
单间 | 大宅风范城 2室1厅1卫 主卧 南,大宅风范城,1500,https://sh.58.com/hezu/44369748822159x.shtml,121.473701,31.230416
单间 | 近大融城 育英街，枫树林小区单间出租 ，押一付一，拎,枫树林景苑(北区),1450,https://sh.58.com/hezu/44415703095570x.shtml,121.473701,31.230416
整租 | 近地铁！嘉宝小区精装三房！楼层好，采光足！配套齐全！,嘉宝小区,5200,https://sh.58.com/zufang/43837953939337x.shtml,121.473701,31.230416
整租 | 精装四室，可做员工宿舍，民用水电，押一付一近地铁，非,日月光伯爵天地鼎固君庭,5300,https://sh.58.com/zufang/44515916933530x.shtml,121.473701,31.230416
单间 | 育兰社区(东区) 5室2厅2卫 次卧 朝南,育兰社区(东区),750,https://sh.58.com/hezu/44690627086751x.shtml,121.473701,31.230416
整租 | 嘉定漳翔路精装带独卫拎包入住可短租,漳翔路1086弄2号楼,849,https://sh.58.com/zufang/44460431806870x.shtml,121.473701,31.230416
整租 | 业主自住房源 中建溪岸澜庭 印象城旁 地铁口 随时可,中建溪岸澜庭,4200,https://sh.58.com/zufang/44189491937060x.shtml,121.473701,31.230416
整租 | 温馨一房 价格好谈 近轻纺市场 毗邻14号地铁站 可,嘉利坊,2600,https://sh.58.com/zufang/44603771067013x.shtml,121.473701,31.230416
整租 | 马陆汽配城 1室1厅1卫,马陆汽配城,1800,https://sh.58.com/zufang/44741909641888x.shtml,121.473701,31.230416
整租 | 刚退，急租，直降500，一梯两户，双南两房，拎包入住,嘉利坊,4200,https://sh.58.com/zufang/44732524570641x.shtml,121.473701,31.230416
整租 | 稀有双床户型 闺蜜特惠房型 阳光充足 电梯房 家具齐,汇丰沁苑(北区),2448,https://sh.58.com/zufang/44524234024598x.shtml,121.473701,31.230416
整租 | 玉兰精装一室户  家电家具全配  可办居住证 拎包即,玉兰一村,1600,https://sh.58.com/zufang/44335516863262x.shtml,121.473701,31.230416
整租 | 金沙湾绿地和苑(一期) 1室0厅1卫,金沙湾绿地和苑(一期),1700,https://sh.58.com/zufang/44741902201768x.shtml,121.473701,31.230416
整租 | 黄渡镇中心  精装1房  空租了 电梯 随时可看 拎,大众春盛苑(公寓住宅),2400,https://sh.58.com/zufang/44691862892036x.shtml,121.473701,31.230416
整租 | 祥源福邸 银翔湖旁 近诸暨大厦 勇立大厦  楼层好,祥源福邸,4300,https://sh.58.com/zufang/44432349102233x.shtml,121.473701,31.230416
整租 | 汇丰沁苑(南区) 1室0厅1卫,汇丰沁苑(南区),2000,https://sh.58.com/zufang/44727319057440x.shtml,121.473701,31.230416
单间 | 直租 可短租 年轻人喜欢的风格 就这套楼层好浅色系年,日月光伯爵天地鼎固君庭,1000,https://sh.58.com/hezu/44631841744155x.shtml,121.473701,31.230416
整租 | 豪华装修两房 带书房 房东自住标准非常漂亮 温馨干净,大名城名郡,2500,https://sh.58.com/zufang/44715430384541x.shtml,121.473701,31.230416
整租 | 新出两房，精装修，可押0付1，温馨居家，干净清爽，家,嘉利坊,3900,https://sh.58.com/zufang/44656449608843x.shtml,121.473701,31.230416
单间 | 西上海御庭(曹安景林苑) 3室1厅1卫 主卧 南,西上海御庭(曹安景林苑),950,https://sh.58.com/hezu/44746300162572x.shtml,121.473701,31.230416
整租 | 合景峰汇 精装两房 主卧朝南 近宝龙城市广场 拎包入,合景峰汇,3000,https://sh.58.com/zufang/44743815812124x.shtml,121.473701,31.230416
整租 | 949元 精装修 独立卫浴 拎包入住,漳翔路1086弄2号楼,949,https://sh.58.com/zufang/44723571474313x.shtml,121.473701,31.230416
整租 | 保利家园 精装一房 近白银路地铁站 价格可谈 拎包入,保利家园(北区公寓住宅),3300,https://sh.58.com/zufang/44714440538532x.shtml,121.473701,31.230416
整租 | 东方慧谷 1室1厅2卫,东方慧谷,2750,https://sh.58.com/zufang/39869319978273x.shtml,121.473701,31.230416
"整租 | 蠡家真实房屋,紧邻万达广场，生活便利,价格可谈",绿地秋霞坊(公寓住宅),3700,https://sh.58.com/zufang/44667396473863x.shtml,121.473701,31.230416
整租 | 地铁口附近精装修全配1房出租中,金沙鼎苑,3900,https://sh.58.com/zufang/44709426928001x.shtml,121.473701,31.230416
整租 | 小区环境好，办居住证，车位充足，房型正气，看房方便，,嘉尚坊,3900,https://sh.58.com/zufang/44656493520803x.shtml,121.473701,31.230416
单间 | 练祁佳城盛蔷坊 1室0厅1卫 主卧 南,练祁佳城盛蔷坊,1300,https://sh.58.com/hezu/44746106904718x.shtml,121.473701,31.230416
整租 | 新出好房 好停车 户型独特 居家装修 干净清爽 送宽,利金国际,2600,https://sh.58.com/zufang/44710265900294x.shtml,121.473701,31.230416
整租 | 近11号线嘉定新城站，整租独立一室户，给漂泊的你一个,胜辛南路800号办公楼,1500,https://sh.58.com/zufang/44721893726754x.shtml,121.473701,31.230416
整租 | 近地铁十一号线嘉定新城地铁站， 生活舒适 设施齐全，,合景峰汇,2450,https://sh.58.com/zufang/43233714309920x.shtml,121.473701,31.230416
整租 | 迎园路351弄小区 2室1厅1卫,迎园路351弄小区,2500,https://sh.58.com/zufang/33168540983999x.shtml,121.473701,31.230416
整租 | 刚退，14号线口，租期灵活，可月付，正规一房一厅，随,嘉尚坊,3000,https://sh.58.com/zufang/44625855069222x.shtml,121.473701,31.230416
单间 | 工商 百度 联影小区门口都有直达的班车 可短租 可办,日月光伯爵天地城市华庭,990,https://sh.58.com/hezu/44621122124184x.shtml,121.473701,31.230416
单间 | 体会温馨 品味幸福 诚意租房 万事俱备，只待你的到来,日月光伯爵天地城市华庭,1300,https://sh.58.com/hezu/44602680271883x.shtml,121.473701,31.230416
单间 | 花园新村 2室1厅1卫 次卧 南,花园新村,1100,https://sh.58.com/hezu/44745824675364x.shtml,121.473701,31.230416
整租 | 年底特价 我是房东 精装修 家具家电全配 可以烧饭，,莱茵北郡,1344,https://sh.58.com/zufang/44698781289115x.shtml,121.473701,31.230416
整租 | 有家有爱有温馨!合景峰汇温馨1室!让您享受生活,合景峰汇,2800,https://sh.58.com/zufang/44744222289537x.shtml,121.473701,31.230416
整租 | 金地旗下 长短租皆可 拎包入住 免中介,胜辛南路800号办公楼,1599,https://sh.58.com/zufang/44711082439315x.shtml,121.473701,31.230416
整租 | 翔和雅苑(三区) 3室1厅1卫,翔和雅苑(三区),4200,https://sh.58.com/zufang/42386561831189x.shtml,121.473701,31.230416
单间 | 温馨南向单间，可住情侣，包物业宽带，押一付一近地铁，,日月光伯爵天地鼎固君庭,1150,https://sh.58.com/hezu/44655394927248x.shtml,121.473701,31.230416
整租 | 精装全配公寓，近地铁和万达广场，房租月付，手机实拍,万达城市公寓,2600,https://sh.58.com/zufang/44737631520670x.shtml,121.473701,31.230416
整租 | 正规两房一厅，可月付，可办居住证，随时看房随时入住，,真新新村嘉德坊,3900,https://sh.58.com/zufang/44656459463965x.shtml,121.473701,31.230416
整租 | 富友嘉园(北区) 2室 1厅1卫,富友嘉园(北区),3800,https://sh.58.com/zufang/44745862079270x.shtml,121.473701,31.230416
单间 | 可短租 蛋壳违约房东收房 与房东直签 独立厨房卫生间,大宅风范城,1700,https://sh.58.com/hezu/44690255642899x.shtml,121.473701,31.230416
整租 | 协通大一房 婚房装修 中间楼层 位置安静方便停车 求,协通公寓,2100,https://sh.58.com/zufang/44665246189857x.shtml,121.473701,31.230416
整租 | 整租一室户，民用水电，近地铁和万达，手机实拍视频，拎,澜茵华庭(东区),2300,https://sh.58.com/zufang/44732771039375x.shtml,121.473701,31.230416
整租 | 通用国际(公寓住宅) 1室1厅1卫,通用国际(公寓住宅),3000,https://sh.58.com/zufang/43331487773578x.shtml,121.473701,31.230416
整租 | 新出好房，可合租养宠物，租金月付，温馨居家，干净清爽,嘉尚坊,3300,https://sh.58.com/zufang/44732126258197x.shtml,121.473701,31.230416
单间 | 单间出租嘉定新城宝龙广场，精装修一室户，看房随时电话,嘉定宝龙城市广场,1800,https://sh.58.com/hezu/44743979508496x.shtml,121.473701,31.230416
单间 | 绿地新江桥城(西区) 2室2厅1卫 次卧 南,绿地新江桥城(西区),1500,https://sh.58.com/hezu/43166642397707x.shtml,121.473701,31.230416
整租 | 可办居住证，密码锁，步梯二楼，精装全配，随时看房！,乡思路60弄小区,3300,https://sh.58.com/zufang/44721254989729x.shtml,121.473701,31.230416
整租 | 风荷丽景 精装两房 南北通透 近宝龙城市广场 拎包入,风荷丽景尚城(西区),4000,https://sh.58.com/zufang/44714387724430x.shtml,121.473701,31.230416
单间 | 11号线南翔陈翔路，实图！！印象城旁，云翔佳苑，押一,云翔佳苑,1000,https://sh.58.com/hezu/44734622179608x.shtml,121.473701,31.230416
整租 | 绿洲古猗新苑(一期) 2室2厅1卫,绿洲古猗新苑(一期),4600,https://sh.58.com/zufang/44734898483751x.shtml,121.473701,31.230416
整租 | 底楼底楼 中星海兰苑 精装大两房 年底亏本出租 随时,中星海兰苑,3500,https://sh.58.com/zufang/37824681437070x.shtml,121.473701,31.230416
整租 | 绿洲香润苑 4室1厅1卫 3200元月 电梯房 配套,绿洲香润苑,3200,https://sh.58.com/zufang/44678236683534x.shtml,121.473701,31.230416
整租 | 居家欧式风格装修，商圈成熟安亭繁华地段客卧分开，随时,V6时代,1600,https://sh.58.com/zufang/44543646820766x.shtml,121.473701,31.230416
整租 | 翔和雅苑(三区) 3室1厅1卫,翔和雅苑(三区),4500,https://sh.58.com/zufang/44687647939986x.shtml,121.473701,31.230416
整租 | 安亭大众厂附近 整租一室 精装全配 押一付一 独立厨,龙安佳苑,1300,https://sh.58.com/zufang/44709765135745x.shtml,121.473701,31.230416
整租 | 房源真实 价格优惠 近地铁 精装修 拎包入住 品质小,嘉善坊,3600,https://sh.58.com/zufang/44643389777828x.shtml,121.473701,31.230416
整租 | 江桥万达，金运路附近 公寓整租，独立厨卫，押一付一，,高潮新苑,1600,https://sh.58.com/zufang/44687591213218x.shtml,121.473701,31.230416
单间 | 莱英北郡(别墅) 3室2厅1卫 次卧 南,莱英北郡(别墅),1300,https://sh.58.com/hezu/44734721722114x.shtml,121.473701,31.230416
整租 | 嘉定11号线地铁沿线 各个站点都有房源 精装修领包入,金桂新村,1200,https://sh.58.com/zufang/44710175726367x.shtml,121.473701,31.230416
整租 | 白金涟庭，别墅精装修，上三层地下一层，近陈翔地铁口，,白金涟庭,13000,https://sh.58.com/zufang/44702515075457x.shtml,121.473701,31.230416
整租 | 高端小区素质住户 精装一房 11号线地铁口 房子非常,V6时代,1400,https://sh.58.com/zufang/44715941578652x.shtml,121.473701,31.230416
整租 | 练祁佳城盛蔷坊 2室1厅1卫,练祁佳城盛蔷坊,2500,https://sh.58.com/zufang/44734739948956x.shtml,121.473701,31.230416
整租 | 可短租 精装修 可养宠 1室1厅1卫 1599元月,胜辛南路800号办公楼,1599,https://sh.58.com/zufang/44613650617618x.shtml,121.473701,31.230416
单间 | 嘉定北地铁口  民电 白天6毛晚上3毛 用电省随时住,日月光伯爵天地鼎固君庭,990,https://sh.58.com/hezu/44621066902558x.shtml,121.473701,31.230416
整租 | 绿地海域苏河源(一期公寓住宅) 3室2厅2卫 500,绿地海域苏河源(一期公寓...,5000,https://sh.58.com/zufang/44569312628500x.shtml,121.473701,31.230416
单间 | 金沙缘圆宝邸 3室1厅1卫 主卧 南,金沙缘圆宝邸,2400,https://sh.58.com/hezu/44218242751521x.shtml,121.473701,31.230416
单间 | 11号线南翔地铁口 曙光苑 全新装修 独厨独卫 拎包,曙光苑(嘉定),2300,https://sh.58.com/hezu/44724305214629x.shtml,121.473701,31.230416
整租 | 初次出租 家电全新 交通便利 居家装修 适合年轻人,嘉尚坊,3150,https://sh.58.com/zufang/44732140746516x.shtml,121.473701,31.230416
单间 | 近地铁 金沙嘉苑 水电民用 1900元月 精装修 电,金沙嘉苑,1900,https://sh.58.com/hezu/44733378764935x.shtml,121.473701,31.230416
单间 | 安亭中央公园(别墅) 3室2厅1卫 主卧 南,安亭中央公园(别墅),1250,https://sh.58.com/hezu/44734311989655x.shtml,121.473701,31.230416
整租 | 曹安公路精装修独立卫生间可做饭公寓,黄渡镇联西村,800,https://sh.58.com/zufang/44476873027745x.shtml,121.473701,31.230416
整租 | 只做不产虚假近地铁华泰中心对面房租月付拎包入住可刷卡,泰宸沙河茗苑,2400,https://sh.58.com/zufang/44742806386701x.shtml,121.473701,31.230416
单间 | 金沙丽晶苑（一期），地铁13号线丰庄站，精装电梯合租,金沙丽晶苑(一期),2500,https://sh.58.com/hezu/44643699370259x.shtml,121.473701,31.230416
单间 | 天马新村 3室1厅1卫 次卧 北,天马新村,900,https://sh.58.com/hezu/44734080218629x.shtml,121.473701,31.230416
整租 | 大宅风范城，俩室一厅，近万达广场，华泰中心，绿地集团,大宅风范城,4200,https://sh.58.com/zufang/44732718554641x.shtml,121.473701,31.230416
整租 | 整租金鼎香樟苑(西区)3室1厅南北,金鼎香樟苑(西区),6000,https://sh.58.com/zufang/44149312581669x.shtml,121.473701,31.230416
整租 | 精装一楼两房一厅，楼层低，装修好，家电齐，拎包入住，,真新新村嘉秀坊,3900,https://sh.58.com/zufang/44656484718726x.shtml,121.473701,31.230416
单间 | 金沙鼎苑 2室1厅1卫 主卧 南,金沙鼎苑,1200,https://sh.58.com/hezu/44604681711362x.shtml,121.473701,31.230416
整租 | 印象城800米 湖畔天下 湖景三房 5200元月 电,湖畔天下(公寓住宅),5200,https://sh.58.com/zufang/43519854367782x.shtml,121.473701,31.230416
单间 | 近地铁站 商业万达广场 精装1850 水电民用 押一,泰宸沙河茗苑,1850,https://sh.58.com/hezu/44722721559050x.shtml,121.473701,31.230416
单间 | 城中路小区 2室0厅2卫 主卧 朝南,城中路小区,1500,https://sh.58.com/hezu/44733802399124x.shtml,121.473701,31.230416
整租 | 天禧嘉苑(北区) 3室1厅1卫 4800元月 精装修,天禧嘉苑(北区),4800,https://sh.58.com/zufang/44488426941217x.shtml,121.473701,31.230416
整租 | 嘉海雅苑(东区) 2室2厅1卫 3500元月 配套齐,嘉海雅苑(东区),3500,https://sh.58.com/zufang/43935296350887x.shtml,121.473701,31.230416
整租 | 南翔地铁口精装公寓，5.7米复式商 住两用，可办公可,中冶祥腾城市广场,8000,https://sh.58.com/zufang/44687269717124x.shtml,121.473701,31.230416
单间 | 云翔佳苑(南区) 4室1厅4卫 主卧 南,云翔佳苑(南区),1398,https://sh.58.com/hezu/44732093707413x.shtml,121.473701,31.230416
整租 | 独栋别墅 南北通透 适合居住加办公 车位充足 出行便,包桥小区,7500,https://sh.58.com/zufang/44747200428056x.shtml,121.473701,31.230416
单间 | 朝南 可短租 采光良好，拎包入住，环境优雅，地段繁华,新城悠活城(东区),1150,https://sh.58.com/hezu/44602636361107x.shtml,121.473701,31.230416
单间 | 出租放心，求租安心 省时省力又放心 绝无虚假 真实价,日月光伯爵天地城市华庭,1200,https://sh.58.com/hezu/44566314597671x.shtml,121.473701,31.230416
单间 | 大宅风范城 4室0厅1卫 主卧 南,大宅风范城,2000,https://sh.58.com/hezu/44722218420640x.shtml,121.473701,31.230416
整租 | 翔华新村 2室2厅1卫 4000元月 南北通透 家具,翔华新村,4000,https://sh.58.com/zufang/44510521523221x.shtml,121.473701,31.230416
整租 | 泰宸新苑，邻近十三号线祁连山南路站，周边交通便利，价,泰宸新苑,3600,https://sh.58.com/zufang/44666811290526x.shtml,121.473701,31.230416
整租 | 阳光葡提 两房整租 家电齐全 通燃气 南北通透 拎包,阳光葡提公馆,3000,https://sh.58.com/zufang/44416122775065x.shtml,121.473701,31.230416
单间 | 花圃小镇(上海包装城) 3室1厅2卫 主卧 南,花圃小镇(上海包装城),1150,https://sh.58.com/hezu/44732067379878x.shtml,121.473701,31.230416
单间 | 找房的点这里，您需要的房子就在这里 近地铁 可短租,日月光伯爵天地城市华庭,1250,https://sh.58.com/hezu/44566270183206x.shtml,121.473701,31.230416
整租 | 丰庄四村，精装一房，拎包入住，配套齐全，随时看房，价,丰庄四村,3500,https://sh.58.com/zufang/44632199107621x.shtml,121.473701,31.230416
整租 | 禹洲老城里 真实图片 3室2厅1卫 3600元月 电,禹洲老城里,3600,https://sh.58.com/zufang/44498351350167x.shtml,121.473701,31.230416
整租 | 旭辉华庭(商住楼) 1室1厅1卫,旭辉华庭(商住楼),2100,https://sh.58.com/zufang/44731919254813x.shtml,121.473701,31.230416
单间 | 体会温馨 品味幸福 诚意租房 万事俱备，只待你的到来,日月光伯爵天地城市华庭,1300,https://sh.58.com/hezu/44602665247626x.shtml,121.473701,31.230416
整租 | 白银路地铁口大两房自住装修 南北通透 业主急租 可随,新城金郡(一期东区),4200,https://sh.58.com/zufang/44444895039512x.shtml,121.473701,31.230416
单间 | 实图纯女生可短租 带阳台 近地铁700米 民用水电,日月光伯爵天地鼎固君庭,1350,https://sh.58.com/hezu/44687159418631x.shtml,121.473701,31.230416
单间 | 安亭新镇颂苑 2室2厅2卫 主卧 北,安亭新镇颂苑,2000,https://sh.58.com/hezu/44731809949472x.shtml,121.473701,31.230416
"整租 | 蠡家真实房屋,紧邻大融城,品质小区,价格可谈",嘉宝紫提湾(公寓住宅),4500,https://sh.58.com/zufang/44667396610699x.shtml,121.473701,31.230416
整租 | 安亭地铁口 精装北欧风格 时尚一房 温馨舒适  拎包,嘉正国际大厦,1400,https://sh.58.com/zufang/43574052590094x.shtml,121.473701,31.230416
整租 | 嘉定西附近一室一厅整租 押一付一 水电民用 随时看房,练祁佳城永泰嘉苑(608...,2100,https://sh.58.com/zufang/44654531194526x.shtml,121.473701,31.230416
整租 | 日月光伯爵天地城市华庭 3室2厅2卫,日月光伯爵天地城市华庭,4600,https://sh.58.com/zufang/44731813938331x.shtml,121.473701,31.230416
"整租 | 近地铁13号线 实拍照片,实地拍摄,干净清爽,随时来",绿地新江桥城(东区),6000,https://sh.58.com/zufang/44588566501900x.shtml,121.473701,31.230416
整租 | 原业主泰翔三房出租！精装全配！采光超棒！生活便利！随,泰翔嘉苑,4500,https://sh.58.com/zufang/44477481404434x.shtml,121.473701,31.230416
单间 | 地铁口 可短租 临时的家也温暖 轻松找房 押一付一,新城悠活城(南区),1200,https://sh.58.com/hezu/44665419159965x.shtml,121.473701,31.230416
单间 | 胜悦嘉苑(东苑) 2室1厅1卫 次卧 朝北,胜悦嘉苑(东苑),800,https://sh.58.com/hezu/44657071064214x.shtml,121.473701,31.230416
