B站id,昵称,性别,回复内容
本土文化编成筐，外来文化往里装。[微笑],185463231,A麦克米伦,男
目前汉服制作参考孔府的收藏和出土的文物，日常穿着很不方便，但是热度年年增高，本质上不管是汉服还是各种技艺，是打开文化认同的钥匙，留于表面的形式也蕴含道理，且更能吸引人，很多年轻人喜欢和服不是因为认同日本文化，只是因为和服好看，至于汉服是否是中华文化的一部分，见仁见智，有认同自然有不认同，汉服爱好者只是希望穿这汉服出去，不会被说成是日本人,11011482,涂山小当家,男
以我为主，兼收并蓄，如果为了所谓的包容，失去自我那就得不偿失了。,242912,潘大人,保密
关于文化自信这个东西，我想拿一个国家来说说故事。原先东海外有一个国家，叫琉球，他没有自己的强势文化，在，漫长的岁月里逐渐接触了中原强大的汉文化，强制淘汰了自己的原始海岛生活，开始文明化，衣服也随着中原的款式变化，礼服也变得越来越不方便。后来仰慕的中原亡了，代替的是一个叫大清的国家，这个国家的文化形式和中原王朝有区别，作为独立国家的琉球，依旧藩属于大清自治，大清的文化并没有突显出什么优势，琉球并没有进行服饰上的改变，只是后来在礼服上增添了海水纹，只是此时的中原王朝，已经变了另一个样子。后来，一伙来自东北的强盗强行闯入了他们的国境。大清不管，最后琉球被日本合并成为了日本的冲绳，这个时候的琉球人还会说琉球语，日本人在琉球进行了殖民统治，这种方式当年明朝没做过，大清也只在中原做过。日语成为琉球国语，过上日本人的衣着出现方式。琉球人的服饰出现了与和服混穿的样式，琉球女人放弃了原本方便的裙装，开始着日本女子和服，下衣极其狭窄与不便，以至于蹲下都显得异常困难。后来就这样过了一百多年。岛上已经没几个人会说琉球语，穿着和服说着日语。美国人来了，开始跟着日本民众一起西方化，着美军带来的新式西装，T恤等等衣服。虽然经常游行抗议美军的骚扰，日本本土人也对琉球有所歧视，觉得他们就是中国人。琉球人心里虽不满，但在日本进行的社会调查显示，愿意把自己当成日本人的还是绝大多数。琉球独立的事件，就此偃旗息鼓。反观琉球历史的前生今世，一直屈服于强者，最后文化泯灭，成为了强者的附庸和一部分。语言，文字，服饰，习俗文化全部消失了。是琉球落后就该死吗？文化如何能评判个优胜劣汰呢？经济文化全线飞跃的宋代，亡在了上帝之鞭蒙古军手中。到底我们评价文化，为什么总是以科技去评论，而漠视了文化本身的对比。比如西方人见面脱帽礼可以用，而中国的拱手礼就是封建余孽人人喊打？况且在中国礼中，脱帽是大不敬！比如西方人的宗教婚礼喜欢白色婚纱，戴着白纱巾，而中国自红男绿女之后，变成以红为主的颜色喜好，今天居然有人穿白色衣服去举行婚礼？再说葬礼中国喜白，为什么今天就成了人人黑衣白花？这些可以见到的礼就不说了。商业街上的招牌有多洋气？服装模特中国人占什么比例，拍摄一个衣服洋人和国人价格一样吗？还有就是为什么满大街的欧式小区，欧式雕塑，还有埃菲尔铁塔，罗马柱，只有在寺庙才能看到中国柱呢？是中式的东西就很土很贱么？仔细想想这个问题吧！,2913299,CHINA东方美学,男
我来说一下我的实际例子吧，我是学动画专业的，你们都知道中国动画史上有水墨动画，当时被称为“中国学派”，但是学动画的人都明白现在的“中国学派”早已经名存实亡，真正意义上的水墨动画早失传了，还记得水墨画《山水情》吗？老者将琴传给那个童子，这个剧情太讽刺，《山水情》之后还有《山水情》吗？文化是需要载体的，说什么酒肉穿肠过佛祖心中留都是鬼话，“你不站岗我不站岗，谁来保卫国！谁来保卫家！”中国动画为什么搞成这个样子，中国动画史到现在都是一部屈辱史，你们知道《火影忍者》等很多动画都是中国人画的吗？最后贴上日本动画的标签，你们不难过吗？中国人会做动画！在日本公司画的好的中国人也有很多！最近中国动画稍有起色，那是我们80后90后每天咬牙奋斗的结果！我们提到传统都是痛心疾首的，因为我们没有传统的环境，却让我们研究传统的动画，我们很努力了！我们做到了，但《山水情》，《大闹天宫》抱歉，先辈，我们还是做不到。文化是需要载体的，没有师承，没有环境，你都学不了英语，更别说传统文化，你以为是个大学就都叫清华北大吗？现在有很多孩子在批判中国古代的东西，说明已经不理解我们的古传统了。日本的尺八，虽说也是中国的东西，但也是靠日本动漫最近火起来的，我们动画人虽然大多都成了恰饭人，但我们知道我们再不做点什么，中国动画又将何去何从？如今动漫的审美已经跟着日漫在走了，中国在类型和审美上还有新的解释权吗？如今我们的动画造型不是日漫就是美国风格，我们还能找到自己的造型吗？让人一眼就认出来这是国漫？,14343989,被人的俗话,保密
为什么我想到了韩国棒子[滑稽],237233403,EzPr0,男
（接上）其二，镰仓实而知礼节。我认为up主所列举的这些物质“形式”是有其存在的合理地位的。汉服在本世纪初，即2003年重新出现自然有其道理。汉服运动发展至今已历十七年有余，最早的先驱者们所经受的压力、冷眼、讥讽与恐吓我们难以想象，而他们坚持了下来，并发展至今天的规模——全国每一个地方多多少少都能够看到身着汉服的身影，几乎每一个大学都有其汉服社团，在一些经济较发达的城市年轻人身着汉服已经成为正常现象——试问这些筚路蓝缕的先驱者们最终坚持了下来，除了对汉服所代表的文化的憧憬与信仰，还能靠什么？汉服作为一个重要的文化载体，其蕴含了中国及中华民族数千年来悠久的历史传统，民族融合的印记，特有的美学观念，礼仪制度与身为华夏的自尊心与自信心。其影响力与知名度的成长历历在目，断不可被视作三分钟热度。近几年汉服运动开始受到官方一定程度上的支持——共青团中央承认并举办的中国华服日，一些主流刊物对汉服的正面报道等等。在这里我引用一段上海春秋研究院研究员马泽晨对于汉服运动的说法：“华服能不能复兴，全看中国这一代年轻人，如果做得好，我们就支持。”我想这大致能够影射官方对于这一运动的基本态度。其背后，我相信是官方看到了华夏衣冠所代表的可能性，即“衣冠王朝”的自信——不可否认的一点，华夏者，有服章之美谓之华——清代以前数千年中国人的自信不能不说与汉衣冠无关。客观来说，作为中国主体民族延绵数千年的传统服饰，认为其无足轻重，我窃以为是很可笑的。也许很多人不知道，在民国初年也曾掀起过小规模的汉服运动，但因战乱而成为昙花一现——谈及这一点，我是想要说明汉服绝非近几年来小年轻的心血来潮，而是与我们内心的文化信仰紧密相关的。今天汉服复兴运动的推动者以年轻人为主，我实在是难以想象这与“复古”有何相干。即便退一步讲，难道“复古”这个词就一定十恶不赦吗？中国人过去厚古薄今，而今天却厚今薄古，这是否有矫枉过正之嫌呢？“古今”与“好坏”的关系恐怕不是那么简单。此外，汉服从来就不是中国人自己舍弃的，四百年前满清强迫汉人剃发易服，其目的便是让汉人从文化层面上丧失民族自信心与认同感——不得不承认其效果之显著，作用之长远。可以说当年满清实行剃发易服政策的原因，便是今日汉服复兴运动的理由——当然范围应当扩大，汉服运动所带来的文化自信不能只让汉族人受益，也不应该被认为是汉人的私产。,429747509,而後如何呢,男
什么是文化我不知道，我只知道pxj看见外国人夸中国两句就喜笑颜开，看见说中国不如外国的地方就极力驳斥，我觉得这些人真的毫无自信。,354469949,龙王-太一,保密
哈哈，说句粗话，能活5000年的文明，熬死了一个又一个国家，靠光明磊落，一本正经早死了，靠的就是会变通和耍流氓，死和尚不死贫道，中国发展到今天，可谓是千年老狐狸。,11334491,939572427,保密
为什么只能投一个币？,49772495,北海云天,保密
能听到这种讲座，感谢b站，感谢up！,487555375,幻灯叉烧饭,男
口才一流，百家讲坛王安石讲一愣一愣的[呲牙],439315623,haihaitk,保密
康老师状态起来后容易口误，唐太宗误作唐玄宗，庄子误作孔子，哈哈哈,11664251,世事如云,保密
"康乾有文化自信？
满人入关以来从剃发易服到篡改典籍编四库能看出文化自信吗..........为什么明末以来的科技书籍到清初清中不见了？
其他的同意，世界文明有了中国文明这个异类才更显精彩。中国很多各种文化都是独一份！",598172726,看不够一路的风景,男
看完[笑],382312754,小坏蛋给你糖,男
我们实在太自信。zg审查制度真是世界最好的制度[奋斗][奋斗][奋斗],621004713,账号已注销,保密
哔哩哔哩，这什么？孔子有什么可吹捧的？,476094730,赵家的,保密
能在b站看视频为什么要去微信看广告？我傻呀,13558884,快给我用急支糖浆,保密
刷出一个光头！,4710937,今晚吃牛肉ing,保密
"其实现在本人在网上最不爽的就是三种人：
1.割裂中华民族的人（最喜欢搞幼稚的民族主义，让霓虹人二战前对中国的民族分裂理论死灰复燃）
2.割裂中华历史的人（最喜欢把中国的历史当成多阶段断层的人，拒绝历史的连贯性，专黑某些朝代或某些时代，强行无视历史的发展规律以及背后的种种无奈。此类人最喜欢军事，崇尚jiquan及暴力，有着轻重不同的反社会人格，有着严重的沙文主义倾向，最喜欢用自己最愿意接受的片面的历史知识去攻击别人）
3.割裂中华地域的人（地图炮，这种人甚至不如上面两种人智商高）
其实上述三种人，都有一个共同特点，对中国历史以及中国现状了解甚少，也没有独立思考过当今世界局面究竟是何种动因推就的。选择聚众取暖，对中国某些并不光彩的一面抱有着强烈的排斥，用群体的语言暴力来弥补自身对自家文化的不自信，产生种种极端情绪。然而倘若接受这三种人观点的影响都将使我们民族产生不可估量的损失。
我相信这种人在网络上肯定是少数，但是问题在于这种人最能叫嚣。亮总这个视频，真的是让我明白了这种声音不绝于耳的原因。唯有时间以及日后的机遇才能还我耳朵一个安宁。",7708373,外壳豆豆,男
国人经历过近代的崩塌衰落，导致心态还特别扭曲，一部分人内心还是极度自卑，媚日哈韩美分层出不穷，所谓的easy girl也多得离谱，对白人和洋大人有着内心的屈从，美其名曰好客；还有一部分人又走到了自大狂妄的极端，自诩天朝上国，拳打日本，脚踢美国，动不动就是吊打这个吊打那个厉害了什么，难以对自己有一个合理正确的认识。另外，说实话，虽然我国的经济取得了伟大的进步，但是文化素养积淀还差的很远，文学，艺术，电影，体育，音乐等等这些还需要更多积累。不知道是不是文化审查制度阉割了优秀的艺术，但愿不是吧。,83499576,晓月清风我在岸边,男
"看看现在B站的很多人，追捧的都是什么？

小鲜肉、韩国包装、日本二次元、日本历史、德国历史、美国历史……

对外国的东西感兴趣没毛病，可是自己家的东西你清楚多少？

外国的东西就洋气！？外国的东西特别牛笔！？

自己家的事都搞不清楚，还天天为了别的国家的历史问题和文化问题在网上争吵不休。

更有甚者，如同护主一样，外国的不好不能说，一说就怼中国哪里不好，老天，中国又不好的地方，外国不好的地方就不能说了？

文化观念上的错位！",102395072,多情剑客的无情剑,男
emmm 能告诉我 大学强迫女学生和留学生联谊是哪门子的民族自信,27053429,Binomo总统夫人,女
这期的观点我非常赞同，对历史上的文化自信说白一点就是因为强大而自豪。我们中国在二战时期没法像美苏一样狠狠的教训敌人，但之后的抗美援朝和对越反击打出了国威。然而现在的年轻人大多数都不懂得继承这份自信感，整天享受糟粕。堡垒从来都是从内部瓦解的，我觉得现在很危险！,178683103,十年不晚7630,保密
评论区还有人说中国的民族主义，行了吧，国内逆向民族主义民族虚无主义这么多，怎么不说话呢！看看各大论坛，尤其是前几年,109480051,涉世人,保密
呵呵，东亚国家文化不都是出自中国嘛。所以为什么都做的这么好还不是中国教的好啊。中国自古以来就有继续历史的习惯，记录历史为什么不就是铭记当年的辉煌嘛。为什么我们老说要恢复汉唐盛世啊，因为我们中国就是世界的中心，中国把美，德，法，英，意等所有好名字都给了西方唯独中国自己留着为什么啊。世界中心永远是中国，这些美丽名字中国都可以舍弃唯独世界的中心中国不可以放弃啊。这是中国的底线也是中国人的骄傲。,18765411,儒以文乱法侠以武犯禁,男
"别闹，现在某些现象就是，你说你爱国！会被说是爱国贼，你说你热爱国家，热爱这片土地的人民，别人会说你被洗脑！你说国家强大，才会百姓安居乐业，别人会说你是小粉红！
我现在明白，爱国还是不用说出来比较好，只要做好自己就是对国家的支持！
毕竟你说出来可是会被喷的！
有些人看不到国家日益强大！他们感觉不舒服，毕竟只有他们的外国粑粑才是最棒的！我们要是超越他们粑粑的话，那就是天理不容！",11591106,神秘兔,保密
然而我们对少数民族过分退让了。,265914091,咸鱼炽炎,保密
有的人狂热的跪舔外国，以至于忽略自己国家的优点。有的人狂热的爱自己的国家，以至于忽略自己国家的缺点。我认为这两种人都是极其可怕的 。我选择尽量站中间，尽量去理性的分析。这也就导致我这种人是被喷的最多的，我说国外问题的时候，被美分喷，我说国内问题的时候，被粉红喷。比如我现在打这段话的时候，同时得罪了两大阵营，估计又要有人喷我了，哈哈哈，明知道会有被喷的可能还是忍不住要说，天生的贱皮子，没招。,47317947,失呢别人吧,保密
共·产·主·义式的文化好，它不属于任何一个民族，它属于所有无产阶级。,314385606,奥克佳布理斯基,保密
文化自信这个度怎么把握真的需要极高的境界和修养啊。看看网络上的键盘侠和跪舔者就知道好多人变成了文化自负或者文化自卑了 (´･_･`),40764502,王撕葱安扣,男
然而我们的民族文化已经被当成了封建糟粕了。还有哪门子文化自信。一个个都排着队喊洋人爹呢。比如某无膝高校。。。,32457395,广声多谢乌蝇哥,男
我对文化了解不多，只能拿出语言的例子。英语在莎士比亚后盛行，德语在古典哲学后盛行，法语在思想启蒙运动后盛行。up主举的例子我实在没看懂，俄罗斯文化和波兰文化辐射力，抱歉我感觉不出来。文化自信来源于切切实实的文化成果，提升文化自信只能努力产出文化成果，而不是天天大吼我N_B，我无敌。,30447107,佐守ひだりて,男
整天喊着文化自信，你靠啥自信呀？你尊重过自己的文化吗？空喊口号,6892738,浸泡伏特加的波波莎,男
然后呢，某些专家，正在消灭历史，改写历史,13604514,Absic,男
现在的中国需要一场战争，胜利的战争来重塑民族自信，这场战争可以是金融战、贸易战、文化战等等一切形式的战争，但必须是打破西方统治的战争。,302428120,黑丶镜框,男
南越跟越南没有毛关系的。南越是中国古代的少数民族，越南立国的时候请中国皇帝赐名南越，被皇帝一口拒绝，称他们处“南越之南”，赐名“越南”，所以越南和南越不是一回事的,7472764,温和的芮麟,男
文化没有高低贵贱之分 马克思说的[奋斗][奋斗],265660656,亦然熊,保密
虽然说文化无优劣之分，但是论厚重感与传承，没有出中华文化之右的。,281759506,月白-Lunar,保密
我们有几千年的文化，不应该像某些国家一样到处申请非物质文化遗产,43497531,卡里迷路了,男
支持新人,352783812,窵蠺,女
"前面那样硬舔就过分了。  好人肯定是多  但是坏人也有的   可以自信 不要自大。
素质好很多是事实  也是国家教育的成功 社会影响 大家自觉。",392506203,max马克斯ccc,男
"其实我想分享下我对国民素质的真实故事：
08年奥运会那年，我一个澳大利亚同学回国，我们一起吃饭聊了他几年的留学生活，他说：在上海是生活，在澳大利亚是生存，在澳大利亚你想找在餐厅找一份服务员的工作你都竞争不过一个印度人。我问他为什么，他告诉我在澳大利亚的留学生和旅游的华人都很多，但大部分素质都很差，所以他们都不愿意雇佣华人当店员（其实根本原因是澳大利亚有极强的反华思想，不过这是我几年后才知道的），这件事是让我对国民素质开始存疑的开始，国人素质及不上印度人？
10年世界杯那年，晚上在外面吃夜宵看世界杯，走过一条小马路，晚上基本没什么车，在红灯的情况下十几个人只有我一个人停下了脚步，并在他们过完马路以后以一种看异类的眼光看着我，这是让我对国民素质进一步的担忧。
12年我就职了宾馆前台，工作了2年，这两年我形形色色看过很多人，我终于明白为什么在外国人眼里国人素质如此低下，外国人在国外，无论说话还是行事，都会有所收敛，有些事即使想也不会去做，但国人恰恰相反，他们觉得他们花钱他们就是大爷，国内的服务业又是顾客至上的理念，所以这给很多国人觉得自己就是大爷的错觉，我在国外旅游时经过能看到我在前台那两年工作时看到的情况。",25445498,zz65864689,保密
衣食足而知礼节，差不多就这种趋势[OK],501519250,忙碌易使心亡,男
仓廪足而知礼节，以前穷的时候占小便宜的人不少,477554380,beakmam,保密
素质这种怎么说呢，现在比以前要好一些，但你想总体达到一个较好的水平，这是很难的，14~15亿的人民，怎么可能？但以前苦日子太多了，有点吃的都要跟别人抢，记得以前老家连路都没有，都是泥路，每天吃番薯，喝一小辍米煲出来的一大锅粥水，吃不饱穿不好，谁跟你讲素质？每一代人都有每一代人的苦恼和难处，但我相信中国以后会更好，心中有理想，希望在前方，连这些想法都没有，那更别谈以后。[OK],177253872,舅瞅泥,男
一个混沌时代过去，沉淀下来的杂质在慢慢代谢。,228547743,瞎阿,保密
其实看过外网的都知道，只要是关于我们的视频限流是一定的，他们各种黑也是一定的，这些看得见的我们都习以为常了！！但是如果你细看还会发现，就是所谓NT引战言论，几乎每个关于我们的视频，总会引出我们周边几个国家的相互攻击讨论，我甚至怀疑是不是在外网有专门设置的亚洲圈的引战系统，目的就是分裂亚洲各国从而达到他们的以夷制夷的效果，如果是真的，那就用心太可怕了！[保佑]！,289047652,kxjgood,保密
我希望有一天中国人这个身份是所有中国人的自豪，却不是美国人身份的那种自豪,108790816,小小小帅007,男
倒数第一是不是俄罗斯，毕竟是美国搞得排行,396349779,我没投过一个币,保密
官宣是不是应该去上一些隐性广告课,21007478,zoe416,保密
这个吹的有点过了，我们现在整体素质是提高了。但是还差很远。毕竟几千年的封建思想影响。需要时间来改变，只要我们开船的方向不错，十四亿人一起使劲。没有任何困难能难道我们。,278089210,以德服人1,保密
最初和最后要建立自己的标准啊,108790816,小小小帅007,男
仓廪实而知礼节，衣食足而知荣辱,32376944,九宮,男
有中文字幕的，大家都不要信，这是中国向外输出的一个基本手段，fake news [调皮][调皮][调皮],247037729,萌神的恩宠,保密
别人都懒得看一眼的东西，可以随便放，但是防人之心还是不可无的。,12616722,飛成醬,女
"怎么说呢。。这些评论都是捡着好听的翻译，但实际，更多的是诋毁和阴谋论......
所以，我们不要自视甚高，还是要低下头，弯下身子，努力拼命发展自己的。",382059650,凌清雨巷,保密
大妈大爷不服，说在中国遇到的外国人如何的，是因为都是过滤过的人口，有犯罪记录的那些垃圾进不来（三非除外，偷渡或做灰色产业链中介拉进来的），相关法规严格，基本是中产或以上来中国讨生活（赚钱），不想因为犯一点小事被驱逐，并进入黑名单，以后都进不来了（犯事成本太高）。所以它们都收敛本性，伪装成合格居民的样子。,662118654,老司机终点站,保密
请不要把国人说的都很好，什么都是相对的，有坏人，我相信更多的是好人，但是绝对不要忽视坏人，只是没遇到而已。,199902142,浪漫日子总有乐趣,保密
"以前坐车捡到一个手机，然后没有锁，我就打开通讯录找到她标注的女儿打了过去。说明情况后，她女儿让我帮忙把东西给送过去，给我报销路费。
我说你自己来拿吧，我等你一会。她女儿说有事情走不开，然后我就把手机放在一家超市里，说明情况就走了。后续也没问。我的时间也是钱啊。",96955064,懒三俗,保密
上次去医院  放了把伞  一会儿就没了[笑哭][笑哭],99733099,想要飞的棉花糖,男
[支持][支持][支持][支持]这才是骨子里的自信,405097726,千亦膤师妹,男
我们民族就是包容和多样性，多种同时发展就挺好，没必要狂热没必要歧视，要保留多样性,43419519,洋葱之神,保密
[酸了],493638433,Shub-Niggurath-,女
BV1wK4y187U7，希望有更多人看到，自己的思想其实是不经意间被人改变与操控的,59727903,TheC-137Rick,男
十大文明是什么意思,483388584,-伴我佐鼬-,男
BV1P5411j76T,87610561,爱学习的小刚子,男
BV1bK411A73h,87610561,爱学习的小刚子,男
故宫大奔女[偷笑],40721557,linchennn,保密
你反对圣诞节我没意见，你以反对资本主义消费主义我支持你，以反对公司剥削工人阶级来过圣诞我也支持你，但是你反对圣诞节，仅仅因为为了复兴中国民族传统，因为狭隘和丑陋的民族主义观点去反对，这不走蒋介石新生活运动老路吗？走希特le的民族主义老路吗？,699444255,一根圆德棍,男
人民群众喜闻乐见的东西，你不喜欢，你算老几？,699444255,一根圆德棍,男
别蹭热度了啥b,87569216,lil篮,男
小丑宁来辣,699444255,一根圆德棍,男
《论语》会背吗？不会？那你哪来的自信？,295006388,腾少2018,保密
三连，举报，拉黑，点踩，你可以不去过，但希望你不要宣传，本人是基督教徒，你不过可以不过，但请不要宣传，谢谢,518590093,太陽の神,男
扶 清 灭 洋,38960126,无能力の奈奈,女
扶 清 灭 洋,19711719,兎脚,保密
很多人都不过圣诞节，发视频特地宣布自己不过圣诞节的倒很少,23105554,大陆宅,男
你像一个沙雕,37598841,DONTSPEAKRUSSIAN,保密
像你这么古董的人，我见多了,518590093,太陽の神,男
笑死我,600298409,CHXobrs7907,男
三连了！无神论者！,399572729,ixx116,保密
文化都给你灭了，汉子都说是他发明的，通通去学五十音图，还文化自信。。。,219343589,110000111011,保密
"这里真的有种强烈的悲哀感，馄饨摊主用着各种例子来证明自己没败，其实恰恰是他的世界里只看到这些细枝末节，对他而言他无法想到别的人生的可能，也许他觉得最多我不卖馄饨改卖烧饼了，反正一样是别人当皇帝他当小民。
这一段如果结合剧里慈禧对修园子必要性的阐述来看就非常明确意思了，慈禧身处国家最顶层，在她眼中其实并没有真正认识到世界的变化，她不过就是个站在高层的馄饨摊主，努力经营着自己的一亩三分地，在她眼里，中国还是那个万国来朝的中国，所以顾好了体面，来场举世无双的生日宴会她觉得就足够让他国意识到自己的狭小。
其实这两段的悲哀在他们自己眼里说的铿锵有力，实际上完美的体现了闭关锁国以及清朝奴性统治对整个国家的荼毒，不管上层还是下层均不知外界事不知外界人，在所有人眼中中国还是闭关锁国前的那个天朝上国，似乎所有人都要来拜，偶尔来个破坏分子在他们眼中不过是蛮夷而已。
乾隆时，乾隆本人对外国的情况一清二楚，对诸多西学掌握甚深，与一些外国国王也有信件往来，也许恰恰是因为他意识到那一切变革，所以才更明确的进行闭关锁国文化封锁，说白了不过是为了自己的统治，于是这场本来只是愚弄下层的游戏在他之后彻底变成所有人一起愚弄的游戏，就连原本最该高瞻远瞩的皇亲和上层官员基本都对外界一无所知，所以自然他们将自己的后路一点点磨灭，历史也不再有他们的位置。",325719410,23的天涯,保密
这就是阿Q精神,433558752,白山黑水背嵬军,男
没败吗，你头发怎么剃成这逼样的了吗[doge-圣诞],19218619,依然范の彪,男
这个地方写的其实挺有意思的,25265095,汤姆球,男
[灵魂出窍]摸摸自己的辫子再说话吧,51424541,云灯离,保密
可惜日本玩的是灭种战术，把你灭了然后让你的女人生他们的种，把人再迁过来[阴险],441499468,娜娜的宝宝新,保密
那个时候能有清晰的国家概念的绝不是这种贩夫走卒，,641197914,你花样真多,保密
元朝也不是乖乖回去放羊的，还不是朱元璋朱棣打回去的,11756964,子不语怪力乱神i,男
馄饨自信,350238894,武汉市长江大乔,男
这种思想，我怎么这么眼熟，总感觉在哪本书上看过，但是差点没把我气死,41944377,神の病娇,保密
1895年到1945年，台湾被日寇殖民统治，人家在台湾大力推行日语教学，并且移民、通婚，如果咱们抗战失败必然是被全面日化，或许这个时间会很漫长，但是结果肯定是非常糟糕的。以他的眼界觉得谁来了都一样，是他的局限性以及一种盲目自大的心理，而以我们现在的眼界来看，失败即灭亡,10530654,悲凉血染云,男
这一段其实是败笔，拿元明清这种蛮夷入关来类比近代的侵略简直是可笑，近代侵略是同等文明的入侵，真要是日本人成功了，现在大家都说日语了，汉子都会成为保留文化,522505234,大明神宝镜,保密
扯，工业文明和农业游牧文明压根不是一个level的对手，现在多少人看日漫日剧被日本影响的？全世界多少人被日本文化影响的？但现在还有主权，还有学了他好的地方之后反攻的可能。真战略你了，你以前的拥有的啥都没有了，反攻个屁,3551290,Aslan-修,男
实在不理解为什么评论区冷嘲热讽的，他说的有一定道理，元朝和清朝的建立(在古代价值观里，属于外族入侵)，宏观上看历史，我们就是体量大，文化根基深厚，外族很难完全统治，不然为什么清朝人除了推行满语，也推行汉语，任用汉官？因为汉人很多不可能杀完，杀完了还怎么统治；汉语和汉文化根基深厚不可能推翻,19074658,碧云天555,男
这店主说法也没错，但前提是文化不能丢。文化丢了，那就真没了。警惕文化入侵，保持文化自信。,482385939,冷茶泊懿,保密
这就是满清的百年荼毒统治下的普通人,30250134,举个栗子的猫,保密
不就是统治者是谁对老百姓都一样嘛，汉族有长期被其他民族统治的悠久历史，老百姓对这些早就熟悉麻木了,233272298,天天向菊,保密
对于许多底层的普通民众来说统治者的变化只不过是换了一个收税人罢了,25808567,需要维生素的橘子,男
您这衣服辫子是谁随了谁？,599932016,乔峰灬,保密
最喜欢的国学老师，听过他很多课，受益匪浅,179632593,天阳多宝鱼,保密
"演讲里的对现在一些演员说的：你们准备把青少年引向何方 ?
08:54",378136426,快乐的鱼池,保密
不盲目自信，不盲目迷信！,16464700,漂凌一生,保密
"郭继承-释迦牟尼佛传—乘愿再来，大彻大悟
http://t.cn/A6bEwdZy",378136426,快乐的鱼池,保密
"给郭老师点赞
👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻",586516289,正己化人_,保密
感恩郭老师,586516289,正己化人_,保密
郭继承老师的课，不仅长智慧，更长精神血肉，理清你的生命观价值观未来观世界观。不听，你的精神生命，文化生命，可能难长成，或迟迟长不成明晰的热血的刚正的大地之树。 ,378136426,快乐的鱼池,保密
觉悟者，中华文化的觉悟者！,510158134,昆仑雪花台,保密
累积,244716849,牛8股,保密
坚定文化自信，建设社会主义文化强国  https://article.xuexi.cn/articles/index.html?art_id=16989271376662118629&amp;,378136426,快乐的鱼池,保密
那个叫卡卡承恩的喷子，来战啊，干不过就拉黑这么下作。不过真不好意思，我在边防部队当了五年兵，我们除了训练执勤，还要搞生产，不仅种地，养鸡养猪养牛养羊挤奶种果树割猪草甚至造房子垒猪圈修水坝捕鱼打猎我都干过，干农活我自问比你有发言权，喜欢李子柒的人都是喜欢她拍出来的美好画面，喜欢听她讲柴米油盐笔墨纸砚故事，喜欢她身上传统中国女人美丽勤劳的气质。我就不明白你这种人死咬着网红，电商不放做什么？她的视频是有几帧是在给自己打广告？仙女就非得不食人间烟火？网红就比明星低人一等？在我眼里她比那些面瘫流量明星高贵无数倍。她有恰烂钱？话说凭自己的努力挣钱有什么不对？你能为了拍一个做拉面的视频就花几个月去学做拉面？为了做蜀绣的视频就真的去学蜀绣？央视都认可的人物，也是我们成都非物质文化遗产的宣传大使，你非要在这里说三道四，这样的励志典范请多来几个,861669,袁湘玖玥,保密
人红是非多，特别多垃圾妒忌别人的成功,309630971,蛋蛋的尼桑,男
你搬运子柒的视频有经过她本人同意吗？,12824296,千花ちゃん_の秘密,女
一些城里人讨论农村应该如何如何，可真是有趣。,7011209,慌派,男
她说过视频里的生活可以说是她想要的那种生活，她初衷就是希望大家看的时候可以减轻压力，我真的不懂喷子的心态到底是什么样的,121637752,嫉妒妄想,女
有啥可喷的呀，看着多美好啊,478397884,卓熙好赞,保密
摆不摆拍有关系吗？美国的电影、电视剧哪一个不是导演导的？还不是看得高潮？只要作品让你感受到了她要传达的东西就够了，李子柒她也没说这是纪录片啊？她也没说这是案子的证据啊？一定要原汁原味，不加修饰、不加剪辑、不加创意？那黑子适合去看监控记录，那就真实。,327731871,六界苍生Z,保密
我喜欢她的视频,389977233,97290402879_bili,保密
子柒是个好姑娘！,482483900,bili_58522671727,保密
有些黑子呀，理说不过就把别人拉黑名单，真好笑[吃瓜][吃瓜][吃瓜][吃瓜],412460910,时楠づ,女
黑人的人 都是做不到的人 这姑娘咋得罪你们了,416301016,小宝爱跳脚,保密
李子柒怎样大家有目共睹，想黑李子柒没那么容易,66765159,不知什么是天长地久,保密
水太冷了，老了会生病的，照顾好自己,476714551,妩媚妖娆撩的一身骚,保密
今年32，小时候农村老家就是这样过日子的,75146312,蜗牛和瓜牛,保密
我觉得她是穿越小说里真的穿过去，也能活的很好的女主,11639262,爱星星的boss,女
支持，只相信行动，不相信喷子,61184227,Annmsm,保密
娶妻当娶李子柒,431723807,83492669327_bili,保密
一看到那些说：这不是农村生活，农村不是这样的人就觉得好笑。人家跟你说过这是农村的生活吗，李子柒想表达的是一种人们向往的生活方式，跟你说的农村生活没有半点关系，弘扬中国的文化又有人说她恰饭而已，背后团队运作什么的，以传播中国文化为目的网红难道不比你们那些三观崩坏的美颜怪们好得多吗,9826622,shj198,保密
支持李子柒！真是个能干努力的好姑娘！,111863863,梅梅二牛,保密
BGM好熟悉,390182080,清茶有时,保密
