整租 | 优尚公寓直租，近佐阾购物中心大润发，loft一房一厅,优城商务大厦,2680,https://sz.58.com/zufang/43561408828185x.shtml
整租 | 龙华港铁清湖北金湖雅苑 南北通透 精装修小三房拎包入,金湖雅苑,3800,https://sz.58.com/zufang/45431381063593x.shtml
整租 | 大浪公寓直租 精装两室一厅 配置齐全 独立阳台厨卫,大浪商业中心,2200,https://sz.58.com/zufang/45531448074635x.shtml
整租 | 民治地铁口 沙元埔小区2室1厅1卫 3000元月南北,沙元埔48栋小区,3000,https://sz.58.com/zufang/45368881314334x.shtml
整租 | 龙华地铁站900米 汇海广场附近 精装大一房一厅 家,弓村,2000,https://sz.58.com/zufang/45319138935185x.shtml
整租 | 龙华汇海广场附近 大单间 一房一厅 带大阳台 家具全,弓村,2000,https://sz.58.com/zufang/42775037059856x.shtml
整租 | 民治红山创业 民水电押一精装免中介 拎包入住配套齐全,鑫荣大厦,2399,https://sz.58.com/zufang/45417545908775x.shtml
整租 | 出门地铁 港铁天颂精装婚房 出租 拎包入住 抢先看,港铁天颂,2300,https://sz.58.com/zufang/45442073059512x.shtml
整租 | 万众城超大带阳台两房一厅,润茂大厦,3000,https://sz.58.com/zufang/45328772312357x.shtml
整租 | 近地铁口 家私家电齐全 户型宽敞明亮  光线充足视野,中兴小区,3500,https://sz.58.com/zufang/45301306433795x.shtml
整租 | 澳门新村 高层无遮挡精装一房一厅 好户型不多 速抢,民乐澳门新村,2280,https://sz.58.com/zufang/44917277079433x.shtml
整租 | 清湖地铁口，有轨电梯旁精装大两房，急租急租,清湖铭泉,3000,https://sz.58.com/zufang/45444640630154x.shtml
整租 | 整租美丽365花园 地铁口大单间 光线好电梯房 租六,美丽365花园,2880,https://sz.58.com/zufang/44146393836432x.shtml
整租 | 龙华区 大浪地铁站附近靠近步行商业街俩房出租 看房方,赖屋山新村,2300,https://sz.58.com/zufang/45417449642767x.shtml
整租 | 非中介红山地铁口 创业花园 采光好 精装修 限时减免,创业花园,2299,https://sz.58.com/zufang/45033613942796x.shtml
整租 | 双地铁口，拎包入住，通风采光好，居住舒适，随时看房，,书香门第名苑,3900,https://sz.58.com/zufang/45002074125317x.shtml
整租 | 苹果园43平精装一房全家电租3100元，实图，有匙看,苹果园,3100,https://sz.58.com/zufang/45409233591726x.shtml
整租 | 真实视频实拍 大阳台朝南看花园 一房一厅 拎包入住,大唐时代公寓,3000,https://sz.58.com/zufang/44346648262046x.shtml
整租 | 好房不等人 直租精装一房一厅 家私家电齐全 拎包入住,龙胜新村,2009,https://sz.58.com/zufang/45098515974531x.shtml
整租 | 4号线龙华直达福田 免管理费 企业93折 精装新居阔,青年城邦园,2389,https://sz.58.com/zufang/45474378473868x.shtml
整租 | 硅谷动力旁 年签首月免租 观澜库坑旁 写字楼公寓,康淮物流园,2500,https://sz.58.com/zufang/43868863647248x.shtml
整租 | 在灯火阑珊的城市里，只有一个温暖的家才是你忙碌一天的,龙光玖钻,3880,https://sz.58.com/zufang/44790308098078x.shtml
整租 | 观澜人民医院附近悦兴围，三房两厅两卫，空房出租！,悦景家园,2500,https://sz.58.com/zufang/45484018653975x.shtml
整租 | 6号4号双地铁家电齐全拎包入住大两房环境优美,龙华金茂府,3000,https://sz.58.com/zufang/45287605712655x.shtml
整租 | 直租下油松新村 近泽华展滔 山姆 设施齐全 交通购物,下油松新村,2280,https://sz.58.com/zufang/45296340020002x.shtml
整租 | 观澜地铁口旁，佳华精装修二房，家私齐全，拎包入住，诚,佳华领域广场(商住楼),3200,https://sz.58.com/zufang/45432202617904x.shtml
整租 | 沙元埔村 2室1厅1卫,沙元埔村,2500,https://sz.58.com/zufang/44705575073416x.shtml
整租 | 龙塘新村 4室1厅1卫,龙塘新村,3800,https://sz.58.com/zufang/45418800199964x.shtml
整租 | 盛世江南 2室1厅1卫,盛世江南,3500,https://sz.58.com/zufang/45533090836141x.shtml
整租 | 简上村 2室1厅1卫,简上村,2800,https://sz.58.com/zufang/45532998606606x.shtml
整租 | 茜坑新村 3室2厅1卫,茜坑新村,2600,https://sz.58.com/zufang/45532964545974x.shtml
整租 | 高坳新村 2室1厅1卫,高坳新村,2600,https://sz.58.com/zufang/43264536831233x.shtml
整租 | 青年城邦园 1室1厅1卫,青年城邦园,3800,https://sz.58.com/zufang/45441174088977x.shtml
整租 | 华侨新苑 2室1厅1卫,华侨新苑,3300,https://sz.58.com/zufang/45532850840589x.shtml
整租 | 青年城邦园 1室1厅1卫,青年城邦园,3400,https://sz.58.com/zufang/41317436286886x.shtml
整租 | 6号线上芬站精装公寓,龙屋新村,2080,https://sz.58.com/zufang/45265487166089x.shtml
整租 | 租2250龙华区大浪六号线云芬站附近精装修俩房家私家,下早新村,2350,https://sz.58.com/zufang/44147147338144x.shtml
整租 | 民治一房一厅小区 天然气可做饭 带车位 免费巴士送到,鑫茂公寓,3900,https://sz.58.com/zufang/45516341178165x.shtml
整租 | 整租一房一厅近地铁 押一付一 民水民电 家具齐全 免,南源新村,2599,https://sz.58.com/zufang/45487669533109x.shtml
整租 | 白石龙地铁口200米 大一房一厅 民水民电 可用燃气,鑫海公寓(龙华),3050,https://sz.58.com/zufang/42777624459403x.shtml
整租 | 观澜4号线地铁口旁，玫瑰苑温馨一房，业主诚心出租,深业泰然玫瑰轩,2200,https://sz.58.com/zufang/45484451861818x.shtml
整租 | 苹果园白领之家3600精致一房一厅,苹果园,3600,https://sz.58.com/zufang/45362971135036x.shtml
整租 | 三地铁环绕小区房精装大单间年底特价,鑫茂公寓,2180,https://sz.58.com/zufang/44866285679364x.shtml
整租 | 五号线民治樟坑二区一房一厅,樟坑二区,2280,https://sz.58.com/zufang/45411393863170x.shtml
整租 | 龙胜地铁口 精装修一房 家私齐全 拎包入住 随时看房,港铁天颂,2800,https://sz.58.com/zufang/45151764603291x.shtml
整租 | 龙华观澜 精装3房 装修半年 首出租 中央空调 小区,百丽名苑,3000,https://sz.58.com/zufang/45506634699053x.shtml
整租 | 近地铁超大一房一厅 采光好无遮挡 可押一付一,创业花园,2399,https://sz.58.com/zufang/45033922020749x.shtml
整租 | 4号线 白石龙超大 两房一厅 可做饭 采光好  拎包,白石龙二区,3200,https://sz.58.com/zufang/45396568851868x.shtml
整租 | 红山地铁口 与深圳北站一站之隔 精装修拎包入住 配套,龙光玖钻,4000,https://sz.58.com/zufang/45296695054082x.shtml
整租 | 美佳华首誉旁 竹村地铁站 3房拧包入住  看房有钥匙,高盛公寓,2600,https://sz.58.com/zufang/45444325041313x.shtml
整租 | 龙华共和花园两房精装电梯房带家私家电独立厨卫可月租,共和花园,2180,https://sz.58.com/zufang/44813756422180x.shtml
整租 | 观澜长湖4号线地铁旁 华盛峰荟名庭精装一室 诚心出租,华盛峰荟名庭,2800,https://sz.58.com/zufang/45487124127925x.shtml
整租 | 租房无中介近地铁红山深圳北双地铁口 精装修民水民电带,创业花园,2499,https://sz.58.com/zufang/44504049058208x.shtml
整租 | 五号线民治地铁口 精装电梯两室一厅特价出租 采光好,向南一区,2800,https://sz.58.com/zufang/44745166280457x.shtml
整租 | 大浪商业中心附近 同富丽苑2房 高楼层 近劳动者广场,同富丽苑,3200,https://sz.58.com/zufang/45516711192334x.shtml
整租 | 福田区，地铁4号线旁边，1房1厅，全家私家电，45平,惠鑫公寓,2500,https://sz.58.com/zufang/44612231465988x.shtml
整租 | 龙华租房免中介 微棠公寓近地铁精装电梯房 民水民电押,龙胜新村,2599,https://sz.58.com/zufang/45440156412303x.shtml
整租 | 年底特惠 近地铁 采光超好 一房一厅 可押一付一,创业花园,2399,https://sz.58.com/zufang/45043617621769x.shtml
"整租 | 华盛观荟,小三房家私齐全，观澜四号线地铁口长湖站",华盛观荟(商住楼),3200,https://sz.58.com/zufang/45331967301400x.shtml
整租 | 5号线民治唯美大单间 采光通风很好 太阳晒屁股的那种,东边老村,2001,https://sz.58.com/zufang/45419828076966x.shtml
整租 | 创业花园 直租精装温馨舒适一房 电梯房采光通风好 民,创业花园,2799,https://sz.58.com/zufang/45097199772322x.shtml
整租 | 星河传奇(商住楼) 2室1厅1卫,星河传奇(商住楼),3800,https://sz.58.com/zufang/45486618459431x.shtml
整租 | 隔圳新村 3室2厅1卫,隔圳新村,3700,https://sz.58.com/zufang/44971099816835x.shtml
整租 | 共和花园 3室 2厅1卫,共和花园,2500,https://sz.58.com/zufang/44704017499411x.shtml
单间 | 丰泽湖山庄 3室2厅2卫 主卧 东,丰泽湖山庄,2400,https://sz.58.com/hezu/44958057448102x.shtml
整租 | 玉翠新村C区 2室1厅1卫,玉翠新村C区,2100,https://sz.58.com/zufang/45523153339320x.shtml
整租 | 横岭四区 1室1厅1卫,横岭四区,2000,https://sz.58.com/zufang/45462998483471x.shtml
整租 | 横岭三区 1室1厅1卫,横岭三区,2265,https://sz.58.com/zufang/45398345631380x.shtml
整租 | 澳华花园 3室1厅1卫,澳华花园,3300,https://sz.58.com/zufang/45522824024450x.shtml
整租 | 沙元埔村 2室1厅1卫,沙元埔村,2800,https://sz.58.com/zufang/45377625692977x.shtml
整租 | 赛维纳精装公寓  家私家电齐全 拎包入住  2800,观澜豪园假日赛维纳,2800,https://sz.58.com/zufang/44825403778073x.shtml
整租 | 临近地铁家电齐全拎包入住户型通透,深业泰然观澜玫瑰苑,2900,https://sz.58.com/zufang/45530610616886x.shtml
整租 | 民治大三房 急租 业主诚心 家私齐全 保养很好 欢迎,丰润花园,3900,https://sz.58.com/zufang/45539245319738x.shtml
整租 | 清湖地铁口，龙华汽车站旁，家电齐全，拎包入住，采光好,保利悦都,2500,https://sz.58.com/zufang/45273974577042x.shtml
整租 | 清湖豪装公寓 押一付一 超大阳台 采光充足视野好,大唐时代公寓,2300,https://sz.58.com/zufang/45517220327712x.shtml
整租 | 龙华清湖翠湖茗苑（花半里对面）月底可入住 实景实价,翠湖茗苑,3200,https://sz.58.com/zufang/45396093923475x.shtml
整租 | 赛维纳观澜湖公寓 看湖看球场 诚租3000月 随时看,观澜豪园假日赛维纳,3000,https://sz.58.com/zufang/45453730719656x.shtml
整租 | 福城天虹 附近 美佳华首誉 2室2厅1卫 4000元,美佳华首誉(商住楼),4000,https://sz.58.com/zufang/45517121964598x.shtml
整租 | 龙华大浪 超大两房直租 民用水电 押一付一 家私齐全,龙胜新村,2699,https://sz.58.com/zufang/45020150292776x.shtml
整租 | 观澜豪园假日赛维纳 1室1厅1卫 3000元月 精装,观澜豪园假日赛维纳,3000,https://sz.58.com/zufang/45487000165279x.shtml
整租 | 龙华清湖宝湖居（花半里旁）正三房 带家私电器出租 实,清湖宝湖居,4000,https://sz.58.com/zufang/45531749238712x.shtml
整租 | 四号线地铁口长湖站，观澜二小，华盛观荟，一房一厅家电,华盛观荟(商住楼),2700,https://sz.58.com/zufang/45364975378483x.shtml
整租 | 苹果园 1室1厅1卫 2980元月 精装修 电梯房,苹果园,3500,https://sz.58.com/zufang/45439574382512x.shtml
整租 | 观澜章阁大三房拎包入住高楼层,汇龙公馆,2400,https://sz.58.com/zufang/44942849003297x.shtml
整租 | 新田茗苑两房精装出租,新田茗苑,3000,https://sz.58.com/zufang/45510204844431x.shtml
整租 | 茜坑地铁站300米环境好福城天虹附近交通便利业主急租,美佳华首誉,3700,https://sz.58.com/zufang/45519230776873x.shtml
整租 | 龙光玖钻 出3000元的单间了只租5天 配套齐全 精,龙光玖钻,3000,https://sz.58.com/zufang/45406323224706x.shtml
整租 | 装修的很精致，客厅宽敞大气。采光通风都很好。世纪春城,世纪春城(三期),4000,https://sz.58.com/zufang/45287590958482x.shtml
整租 | 近展滔科技大厦，精装舒适家电齐全生活配套齐全拎包入住,华侨新苑,2000,https://sz.58.com/zufang/45409130431670x.shtml
整租 | 龙华地铁站超近，带阳台一房一厅2000，近华润一方天,景华新村,2000,https://sz.58.com/zufang/45041927731094x.shtml
整租 | 龙塘新村 2室2厅2卫 3000元月 配套齐全 精装,龙塘新村,3000,https://sz.58.com/zufang/45510062173748x.shtml
整租 | 近天汇大厦 1980文化产业园 展滔大厦 精致装修,共和花园,2000,https://sz.58.com/zufang/45331717586101x.shtml
整租 | 白石龙一区 1室1厅1卫 3000元月 南北通透 电,白石龙一区,3000,https://sz.58.com/zufang/45412231644692x.shtml
整租 | 华盛观荟，观澜四号线长湖地铁口  ，天虹附近，一房一,华盛观荟,2700,https://sz.58.com/zufang/45439419511041x.shtml
整租 | 羊台山脚下，温馨两房，业主 诚心出租，看房有钥匙,龙军花园,3288,https://sz.58.com/zufang/45332409874995x.shtml
整租 | 物业直租无中介 元芬6号线地铁口 精装高层大2房招租,元芬新村,2600,https://sz.58.com/zufang/45384648447275x.shtml
整租 | 华为基地 天汇大厦 万众城 精装两房出租,新阳丽舍,2000,https://sz.58.com/zufang/45476612915470x.shtml
整租 | 小区电梯房 可免费提供学 位 松和小学附近龙华公寓带,警备区龙华公寓,2800,https://sz.58.com/zufang/45473295225364x.shtml
整租 | 南北通风.交通方便有家电，可拎包入住,龙安大厦,4000,https://sz.58.com/zufang/45508596411789x.shtml
整租 | 4号线民治白石龙小区房，民水民电通天然气，福田会展中,潜龙鑫茂花园(A区),2200,https://sz.58.com/zufang/45464733389243x.shtml
整租 | 直租清湖地铁口 100米  豪华装修  采光好 拎包,富联二区,2000,https://sz.58.com/zufang/45489454652049x.shtml
整租 | 东富龙花园 3室2厅1卫 3999元月 精装修 出租,东富龙花园,3999,https://sz.58.com/zufang/45287905401118x.shtml
整租 | 大浪服装基地旁 华联丰大厦2房 空中花园 月卡停车,华联丰大厦,2700,https://sz.58.com/zufang/45516711067783x.shtml
整租 | 龙华文化广场旁 富驰大厦 精装修 复式1房2厅 拎包,富驰大厦,4000,https://sz.58.com/zufang/44781482738844x.shtml
"整租 | 地铁4,5号线双地铁 小区精装一房一厅直租 现立减1",鑫茂公寓,3700,https://sz.58.com/zufang/44853906942623x.shtml
整租 | 公寓直租 近龙胜地铁站两房一厅直达福田拎包入住免中介,龙胜新村,2000,https://sz.58.com/zufang/45486747137067x.shtml
整租 | 捡漏房，房子大体舒适，小伙伴们赶快拎包入住啦！,潜龙鑫茂花园(C区),4000,https://sz.58.com/zufang/45528096284594x.shtml
整租 | 玉华花园适合住家的小区！租金便宜！,玉华花园,3500,https://sz.58.com/zufang/45318829022374x.shtml
整租 | 清湖地铁站300米（一房整租）押一付一开年特价,富茂新村,2000,https://sz.58.com/zufang/44953514048537x.shtml
整租 | 4号线民治 朝阳新村 1室1厅1卫 精装修 电梯房,朝阳新村,2480,https://sz.58.com/zufang/45475264937988x.shtml
整租 | 新田茗苑115平米3500元月，环境幽静，居住舒适！,新田茗苑,3500,https://sz.58.com/zufang/45252698917016x.shtml
整租 | 共和花园 3室1厅1卫,共和花园,2700,https://sz.58.com/zufang/45483636150701x.shtml
整租 | 警备区龙华公寓 2室2厅1卫,警备区龙华公寓,3000,https://sz.58.com/zufang/45539393008261x.shtml
整租 | 龙胜新村 2室1厅1卫,龙胜新村,2280,https://sz.58.com/zufang/45511501544613x.shtml
整租 | 民乐翠园小区 3室2厅1卫,民乐翠园小区,3800,https://sz.58.com/zufang/45539355502252x.shtml
整租 | 樟坑径下围村 2室 1厅1卫,樟坑径下围村,2000,https://sz.58.com/zufang/45539267259281x.shtml
整租 | 共和花园 2室1厅1卫,共和花园,2000,https://sz.58.com/zufang/45539278941865x.shtml
整租 | 南景新村 3室 2厅1卫,南景新村,4000,https://sz.58.com/zufang/45517975347605x.shtml
整租 | 茜坑新村 3室2厅2卫,茜坑新村,4000,https://sz.58.com/zufang/45267080912902x.shtml
整租 | 弓村 2室1厅1卫,弓村,2880,https://sz.58.com/zufang/45538955365161x.shtml
整租 | 龙华 观澜 万科九龙山 精装大三房 随时看房,万科九龙山,3500,https://sz.58.com/zufang/45444734712238x.shtml
整租 | 龙华观澜百丽名苑精装两房家私全齐业主急租，钥匙在手随,百丽名苑,2450,https://sz.58.com/zufang/45508470390790x.shtml
整租 | 龙华外国语旁 精装一房 看花园家私电齐全 业主急租,百丽名苑,2200,https://sz.58.com/zufang/45506668689183x.shtml
整租 | 元芬地铁 押一付一 可短租 直租公寓 家私家电齐全,鹊山新村,2599,https://sz.58.com/zufang/45130439568641x.shtml
整租 | 近山姆会员 壹方天地 展滔大厦 天汇大厦 大两房一厅,梅龙苑,2600,https://sz.58.com/zufang/45539517079200x.shtml
整租 | 近地铁大两房，签约减一个月房租，再减500，押一付一,西头新村,2660,https://sz.58.com/zufang/44314304673559x.shtml
整租 | 茜坑地铁口旁，泰莱雅苑三房，业主诚心出租,泰莱雅苑,3200,https://sz.58.com/zufang/45354150263329x.shtml
整租 | 好房推荐 豪华装修，近地铁站，性价比高上档次 来电有,城投七里香榭,3000,https://sz.58.com/zufang/45321645253122x.shtml
整租 | 元芬新村 2室1厅1卫 2560元月 南北通透 电梯,元芬新村,2560,https://sz.58.com/zufang/45342990267302x.shtml
整租 | 龙华大浪六号线阳台山东站附近，一层就一套四房看房方便,赖屋山新村,3500,https://sz.58.com/zufang/45517376399371x.shtml
整租 | 环境好！中航格澜花园 装修好 美中附近 近4号线茜坑,中航格澜阳光花园(二期),3800,https://sz.58.com/zufang/45519607354001x.shtml
整租 | 白石龙一区 2室1厅1卫 2980元月 50平 南北,白石龙一区,3000,https://sz.58.com/zufang/45368688711078x.shtml
整租 | 整租 三房一厅 大户型 阳光充足 家具齐全 电器配齐,玉翠新村B区,2500,https://sz.58.com/zufang/44513214973705x.shtml
整租 | 真实视频图片 新装修 一房招租 清湖地铁口高端公寓,大唐时代公寓,3000,https://sz.58.com/zufang/41692656634888x.shtml
整租 | 全新精装修 出租 干净卫生 朝花园安静,华侨新苑,3300,https://sz.58.com/zufang/45530547568157x.shtml
整租 | 三合华侨新村 2室1厅1卫 免费停车 阳光充足 可用,三合华侨新村,2300,https://sz.58.com/zufang/45540120762890x.shtml
整租 | 竹村地铁站 有轨电车文澜站 招商澜园旁  业主诚意出,陶润懿峰,3500,https://sz.58.com/zufang/45417469303739x.shtml
整租 | 地铁口精装三房，自带大型商超 空中花园，出门就有公交,华盛峰荟名庭,3200,https://sz.58.com/zufang/45433247633448x.shtml
整租 | 4号线清湖地铁口富联新村近保利悦都清泉小区富士康,富联新村,2200,https://sz.58.com/zufang/45463501867266x.shtml
整租 | 美佳华首誉，比邻新天地，地铁4号线茜坑站，合正福城天,美佳华首誉(商住楼),3800,https://sz.58.com/zufang/45505994080818x.shtml
整租 | 4号线白石龙超大两房一厅可做饭采光好拎包入住,白石龙二区,2500,https://sz.58.com/zufang/45478847717403x.shtml
整租 | 清湖地铁口100米 超大采光房 主卧单独带阳台 室内,富联新村,2600,https://sz.58.com/zufang/45434264467884x.shtml
整租 | 上塘地铁站精装一房，家私全齐,潜龙曼海宁(北区),3000,https://sz.58.com/zufang/44868695973659x.shtml
整租 | 龙华地铁站 两房一厅近汇海广场 大阳台采光通风好 家,弓村,2600,https://sz.58.com/zufang/44779328273061x.shtml
整租 | 共和花园 两房一厅 大阳台采光好随时可以看房,共和花园,2200,https://sz.58.com/zufang/45308028487330x.shtml
整租 | 清湖地铁口300米近港之龙 国鸿大厦轻轨站交通方便,富联新村,2000,https://sz.58.com/zufang/45442602448264x.shtml
整租 | 华侨新苑 2室1厅1卫,华侨新苑,3000,https://sz.58.com/zufang/45275087676449x.shtml
整租 | 御景阁 2室1厅1卫,御景阁,2200,https://sz.58.com/zufang/45440899621682x.shtml
整租 | 骏龙新村 3室1厅2卫,骏龙新村,3200,https://sz.58.com/zufang/45519249847194x.shtml
整租 | 下围新村 2室1厅1卫,下围新村,2000,https://sz.58.com/zufang/45519165503106x.shtml
整租 | 共和花园 3室1厅1卫,共和花园,3100,https://sz.58.com/zufang/45264422790674x.shtml
整租 | 民乐翠园小区 2室2厅1卫,民乐翠园小区,3500,https://sz.58.com/zufang/45518959645446x.shtml
整租 | 紫汇花园 3室2厅2卫,紫汇花园,2300,https://sz.58.com/zufang/45362457192842x.shtml
整租 | 弓村二区 3室2厅2卫,弓村二区,3400,https://sz.58.com/zufang/45518797816375x.shtml
整租 | 简上村 2室1厅1卫,简上村,2000,https://sz.58.com/zufang/45518738287799x.shtml
整租 | 龙华区大浪六号线元芬站新出精装修俩房无遮挡高楼层采光,中兴小区,2850,https://sz.58.com/zufang/44787011511187x.shtml
整租 | 4号线 民乐翠园小区 二房一厅 这个温暖的家需要你的,民乐翠园小区,3080,https://sz.58.com/zufang/45355983797301x.shtml
整租 | 大浪时尚小镇 华联丰大厦3房 高楼层 空中花园 月卡,华联丰大厦,3500,https://sz.58.com/zufang/45516712428472x.shtml
整租 | 金侨花园，精装3房，诚心出租 交通便利 交通方便 价,金侨花园,3000,https://sz.58.com/zufang/45431125619120x.shtml
整租 | 整租 清湖龙华双地铁 豪华两房 免中介 拎包入住,弓村二区,2980,https://sz.58.com/zufang/45379905360520x.shtml
整租 | 朝阳新村 1室1厅1卫 2550元月 精装修 南北通,朝阳新村,2550,https://sz.58.com/zufang/45343954466177x.shtml
整租 | 龙华花园新村直租地铁口,花园新村,2000,https://sz.58.com/zufang/45376905265560x.shtml
整租 | 苹果园精装一房，看房方便有钥匙,苹果园,3000,https://sz.58.com/zufang/45473077351719x.shtml
整租 | 龙华百丽名苑 1房精装出租 花园小区房 停车免费 交,百丽名苑,2100,https://sz.58.com/zufang/45508484555193x.shtml
整租 | 龙华大润发 汇海广场 弓村 精装大两房一厅 拎包入住,弓村,2600,https://sz.58.com/zufang/44779327577625x.shtml
整租 | 四号线 红山 落地窗 小区复式一房一厅 随时看房,龙光玖钻,2580,https://sz.58.com/zufang/44732319684481x.shtml
整租 | 龙华观澜 百丽名苑 龙观快速旁 大型花园小区 享免费,百丽名苑,2400,https://sz.58.com/zufang/45506602010428x.shtml
整租 | 5号线民治地铁400米 拎包入住,樟坑一区2栋小区,3000,https://sz.58.com/zufang/42066883982746x.shtml
整租 | 白石龙地铁，澳门新村性价一房2500，两站到福田。,民乐澳门新村,2500,https://sz.58.com/zufang/44490856055074x.shtml
整租 | 地铁口150米  民用水电燃   签约立减800元,书香门第名苑,3000,https://sz.58.com/zufang/44945069965981x.shtml
整租 | 佳华领域 观澜地铁口新澜轻轨口旁边 业主诚心出租，价,佳华领域广场,2900,https://sz.58.com/zufang/45409107756320x.shtml
整租 | 龙华红山精装大一房 押一付一 拎包入住 民水民电 2,创业花园,2099,https://sz.58.com/zufang/43340479481510x.shtml
整租 | 大浪义乌 福轩新村 大2房 生活配套齐全 业主急租,福轩新村,2250,https://sz.58.com/zufang/45330826756128x.shtml
整租 | 清湖铭泉旁小区 全新装修 守次出租 精装一房一厅 领,大唐时代公寓,2900,https://sz.58.com/zufang/45285127616908x.shtml
整租 | 新田茗苑精装三房出租,新田茗苑,3500,https://sz.58.com/zufang/45322180829109x.shtml
整租 | 元芬龙胜地铁口 物业直租 全新精装 拎包入住 随时看,元芬新村,2000,https://sz.58.com/zufang/45506203209627x.shtml
整租 | 整租两房 直租免中介 拎包入住 家私齐全 民水民电押,元芬新村,2569,https://sz.58.com/zufang/44658230759044x.shtml
整租 | 2.24 1866南区1房出租4000全齐有阳台,绿景公馆1866(南区),4000,https://sz.58.com/zufang/45329526527106x.shtml
整租 | 中航阳光新苑 1室1厅1卫 3000元月 电梯房 精,中航阳光新苑,3000,https://sz.58.com/zufang/45288361709190x.shtml
整租 | 业主全新出租苹果园 大单间 通风采光不嘈杂 拎包入住,苹果园,2400,https://sz.58.com/zufang/45351451137950x.shtml
整租 | 龙华小区房 百丽名苑 精装1房出租 停车免费 交通便,百丽名苑,2100,https://sz.58.com/zufang/45506627684484x.shtml
整租 | 联富华庭 3室1厅1卫,联富华庭,3500,https://sz.58.com/zufang/45516227245603x.shtml
整租 | 潜龙横岭小区 2室1厅1卫,潜龙横岭小区,3100,https://sz.58.com/zufang/45473284829730x.shtml
整租 | 潜龙横岭小区 2室1厅1卫,潜龙横岭小区,3100,https://sz.58.com/zufang/45473083664945x.shtml
整租 | 潜龙横岭小区 2室1厅1卫,潜龙横岭小区,3100,https://sz.58.com/zufang/45366345538987x.shtml
整租 | 南兴汇 3室1厅1卫,南兴汇,2000,https://sz.58.com/zufang/45376590689705x.shtml
整租 | 水尾三区 2室1厅1卫,水尾三区,2400,https://sz.58.com/zufang/43803647765389x.shtml
整租 | 金威大厦 4室1厅1卫,金威大厦,3980,https://sz.58.com/zufang/45328916177187x.shtml
整租 | 上早新村 2室1厅1卫,上早新村,2380,https://sz.58.com/zufang/44965981152525x.shtml
整租 | 龙胜新村 2室1厅1卫,龙胜新村,2380,https://sz.58.com/zufang/44966205008656x.shtml
整租 | 创业花园 直租精装温馨舒适一房 电梯房采光通风好 民,创业花园,2799,https://sz.58.com/zufang/45097199772322x.shtml
整租 | 4号线近会展中心白石龙地铁口精装两房实图拍摄大阳台直,白石龙老村,3580,https://sz.58.com/zufang/45478856633754x.shtml
整租 | 住家办公必看 观澜写字楼公寓 可办公放货 停车方便,康淮物流园,2600,https://sz.58.com/zufang/43834980331542x.shtml
整租 | 龙华观澜百丽名苑 精装三房 配套齐全 交通便利 免停,百丽名苑,2700,https://sz.58.com/zufang/45508410239654x.shtml
整租 | 皓月花园 近民治地铁站 家电全齐 精装修一室一厅 拎,皓月花园,2300,https://sz.58.com/zufang/44104973219995x.shtml
整租 | 元芬地铁站 D口精装 科学馆直达 采光好 可做饭，方,元芬新村,2800,https://sz.58.com/zufang/45274591178526x.shtml
整租 | 龙华富士康 共和花园 壹城中心 精装两房一厅 拎包入,共和花园,2300,https://sz.58.com/zufang/44439997919895x.shtml
整租 | 龙华地铁站小产权业主放盘，精装两房一厅，可租可售，家,锦绣新村,2650,https://sz.58.com/zufang/45463810480308x.shtml
整租 | 五号线两房一厅精装修品牌公寓随时看房,沙元埔村,2880,https://sz.58.com/zufang/45410412930341x.shtml
整租 | 白石龙地铁150米，实图实价，民水民电小区式公寓，近,鑫海公寓(龙华),4000,https://sz.58.com/zufang/44966438129059x.shtml
整租 | 无中介 46号线 押一付一 民水民电 家电齐全 近深,赤岭花园,2599,https://sz.58.com/zufang/45100289395490x.shtml
整租 | 急租 小区房 龙华山姆会员店 附近龙华公寓精装两房,警备区龙华公寓,2500,https://sz.58.com/zufang/45539218229153x.shtml
整租 | 汇海广场 弓村精装一房一厅 全新配套 实图实价 拎包,弓村,2300,https://sz.58.com/zufang/45264831337875x.shtml
整租 | 真实视频图片 清湖地铁口 精装地中海风格一房一厅 全,大唐时代公寓,3000,https://sz.58.com/zufang/45296626312720x.shtml
整租 | 星河品质一房公寓  拎包入住   随时看房,星河传奇(商住楼),3980,https://sz.58.com/zufang/45342071828378x.shtml
整租 | 优尚公寓直租，优城近佐阾购物中心大润发，loft一房,优城商务大厦,2480,https://sz.58.com/zufang/43551757097752x.shtml
整租 | 大浪九区 3室2厅2卫 空房现状出租 可办理固定车位,大浪九区,2400,https://sz.58.com/zufang/45540174365322x.shtml
整租 | 清湖地铁口，近金銮国际，采光好，家电齐全，拎包入住，,和平小区,2100,https://sz.58.com/zufang/45318276851850x.shtml
整租 | 大一房 红山深圳北站创业花园直租 近地铁民水民电 无,创业花园,2399,https://sz.58.com/zufang/44490083762853x.shtml
整租 | 好房子来了一声吼，该出手时就出手，紧邻地铁站全新豪华,赤岭头一村,2500,https://sz.58.com/zufang/45353338315304x.shtml
整租 | 上塘超大标准两房，物业直租，通风采光好,龙塘新村,3000,https://sz.58.com/zufang/45519411862310x.shtml
整租 | 二房一厅|龙塘村|大阳台|四六号线离地铁近,龙塘村,2400,https://sz.58.com/zufang/44645036086918x.shtml
整租 | 龙华地铁站，近汇海广场和一方天地商超，近龙华实验学校,金玲花园,3000,https://sz.58.com/zufang/45008548854657x.shtml
